american
,cream,120
,ice cream,79
,cheese,39
,cream cheese,39
,pie,26
,boston cream pie,18
,spinach,16
,sour cream,14
,creamed spinach,14
,sorbet,12
,bagel,12
,vanilla ice cream,11
,with cream cheese,11
,bagel with cream cheese,10
,sundae,9
,sandwich,9
,bagel and cream cheese,9
,creamsicle,8
,ice cream sandwich,8
,ice cream sundae,8
,soup,7
,ice creams,6
,sorbets,6
,ice cream and sorbet,5
,whipped cream,5
italian
,cream,54
,ice cream,35
,spinach,8
,creamed spinach,8
,pie,7
,cheese,5
,boston cream pie,5
,cream cheese,5
,vanilla ice cream,3
,creamsicle,3
,asparagus cream,3
,corn,2
,horseradish cream,2
,sour cream,2
,orange cream,2
,chicken,2
,with cream cheese,2
,potatoes,2
,parmesan creamed spinach,2
,italian,2
,sorbet,2
,whipped cream,2
,sauce,2
,ice cream sundae,2
,sundae,2
ethnic
,cream,44
,ice cream,36
,mango ice cream,6
,sorbets,6
,vanilla ice cream,4
,ice creams,3
,fried ice cream,2
,ginger ice cream,2
,coconut ice cream,2
,soup,2
,selection of ice cream,2
,sorbet,1
,cookies,1
,variety of ice cream and sorbet,1
,99. fried ice cream,1
,strawberry creamsicle,1
,baileys irish cream,1
,irish cream,1
,lobster cream soup,1
,creamsicle,1
,solera cream,1
,cookies and cream,1
,scrambled eggs,1
,cream of tomato soup,1
,tomato soup,1
cafe
,cream,113
,cheese,68
,cream cheese,67
,ice cream,46
,with cream cheese,32
,bagel with cream cheese,26
,whipped cream,12
,pie,12
,cake,12
,bagel,9
,cream cake,7
,bagel and cream cheese,5
,creamy italian,5
,buttercream,5
,italian,5
,sour cream,5
,irish cream,5
,cream soda,4
,lox,4
,cookies 'n' cream ice cream,4
,tomato,4
,egg cream,4
,soda,4
,ice cream float,3
,italian dressing,3
deli
,cheese,37
,cream cheese,36
,with cream cheese,20
,cream,18
,bagel with cream cheese,16
,ice cream,9
,bagel,6
,creamy italian,5
,italian,5
,pie,4
,sour cream,4
,spreads with cream cheese,3
,creamy italian dressing,3
,bagel and cream cheese,3
,sauce,3
,lox,3
,italian dressing,3
,tomato,3
,smoothie,2
,house dressing,2
,toasted bagel and cream cheese,2
,toasted bagel,2
,creamy tomato,2
,bagel with plain cream cheese,2
,salmon,2
grill
,banana pecan cream pie,1
,pie,1
,soup,1
,pies,1
,classic cream pies,1
,sour cream,1
,cream,1
,potato,1
,homemade cream of potato and bacon soup,1
,cream soda,1
,soda,1
,burger,1
,cheese burger,1
,creamy blue cheese burger,1
,blue cheese burger,1
,creamsicle,1
asian
,cream,134
,ice cream,130
,mochi ice cream,24
,fried ice cream,22
,green tea ice cream,11
,ice cream tempura,9
,tempura,9
,vanilla ice cream,8
,cake,6
,cream bun,5
,cream cheese roll,5
,with ice cream,4
,mango ice cream,4
,red bean ice cream,4
,green tea mochi ice cream,4
,ginger ice cream,4
,cream cake,4
,fried banana with ice cream,3
,cream cheese,3
,cheese,3
,coconut cream,3
,coconut ice cream,3
,rice,2
,sticky rice,2
,strawberry mochi ice cream,2
mexican or latin
,cream,28
,sour cream,20
,ice cream,6
,fried ice cream,4
,extra sour cream,3
,sour cream or jack cheese,1
,sour cream or non-fat yogurt,1
,yogurt,1
,side of sour cream,1
,creamy poblano rice,1
,jack cheese,1
,"""our original"" sour cream-n-chive fries and",1
,cheese,1
,rice,1
,sour cream (large),1
,guacamole,1
,xt06. add extra sour cream,1
,christina's ice cream,1
,sour cream guacamole,1
,aguacate verde's ice cream,1
,dipping cream,1
,salvadorian cream,1
,xt05. add extra sour cream,1
healthy
,cream,11
,ice cream,9
,beef,1
,roast beef and horseradish cream,1
,milk shakes with ice cream,1
,roast beef,1
,horseradish cream,1
,assorted ice cream,1
,fried ice cream,1
,mochi ice cream,1
,with ice cream,1
,mango ice cream,1
,iced cream,1
,organic peanut butterandcomma; nutella or tofutti non dairy cream cheese,1
,cream cheese,1
,creamy asiago dressing,1
,cream of borccoli,1
,cheese,1
,creamy tomato,1
,tomato,1
,authentic persian ice cream with pistachios,1
desserts
,cream,28
,ice cream,20
,cookies,5
,cookies and cream,4
,ice cream bars,2
,bars,2
,sweet cream,2
,whipping cream,1
,gracie's hat and small ice cream,1
,can of whipped cream,1
,box of 12 ice cream bars,1
,bagel and cream cheese,1
,cheese,1
,ice cream sandwich,1
,creamsicle,1
,cookies and cream feat. oreo,1
,oreo,1
,sandwich,1
,ice cream cannoli,1
,whipped cream,1
,cream cheese,1
,cannoli,1
,bagel,1
,hand packed ice cream,1
,peanut butter cup perfection ice cream,1
bar
,cream,7
,ice cream,2
,whipped cream,2
,pie,2
,genny cream,2
,sandwiches,1
,belgian waffle with fresh berries and whipped cream,1
,berries,1
,andrea's ice cream sandwiches,1
,mocha cream pie,1
,creamsicle,1
,creamy cheese,1
,surfers on acid and a genny cream,1
,cheese,1
,banana cream pie martini,1
,smoked salmon,1
,salmon,1
,smoked salmon and vegetable cream cheese bagel sandwich,1
,boston cream pie,1
,sandwich,1
,bagel sandwich,1
,vanilla ice cream,1
,martini,1
,"""genny"" cream ale",1
,new zealand hokey pokey ice cream,1
southern
,breakfast tacos or creamy scrambled eggs,1
,sorbet,1
,ice cream or sorbet,1
,creamy scrambled eggs,1
,scrambled eggs,1
,chorizo,1
,cheese,1
,eggs,1
,creamy scrambled eggs with chorizo and mexican farmer's cheese,1
