american
,maki,68
,dragon maki,4
,spider maki,3
,caterpillar maki,2
,crazy maki,2
,volcano maki,2
,b-52 maki,2
,philly maki,2
,salmon maki,2
,tuna maki,2
,rainbow maki,2
,california maki,2
,spicy tuna maki,2
,geisha maki^,1
,spicy white tuna maki^,1
,crispy philly maki,1
,spicy snow crab maki^,1
,spicy sea scallop maki^,1
,privus maki^,1
,godzilla maki,1
,dynamite maki^,1
,ruby maki^,1
,dragon maki^,1
,ebony and ivory maki^,1
,twin maki^,1
cafe
,maki,2
,maki latte,1
,the italian maki,1
,latte,1
deli
,maki,1
asian
,maki,1389
,maki roll,170
,combo,59
,tuna maki,55
,salmon maki,54
,avocado maki,48
,tempura maki,45
,maki combo,41
,california maki,36
,hand roll,36
,dragon maki,36
,futo maki,32
,rainbow maki,31
,caterpillar maki,29
,cucumber maki,27
,spicy tuna maki,27
,tekka maki,24
,kappa maki,23
,yellowtail maki,23
,crazy maki,23
,spider maki,22
,spicy salmon maki,21
,boston maki,21
,philadelphia maki,20
,spicy scallop maki,20
italian
,maki,37
,dragon maki,2
,philly maki,2
,salmon maki,2
,summer maki^,1
,volcano maki,1
,pink floyd maki^,1
,passion maki^,1
,special,1
,bento lunch special,1
,lunch special,1
,ruby maki^,1
,dragon maki^,1
,crispy philly maki,1
,maki rolls,1
,allston maki^,1
,geisha maki^,1
,privus maki^,1
,godzilla maki,1
,dynamite maki^,1
,maki bento lunch special,1
,rolls,1
,crazy maki,1
,spicy salmon maki,1
,scorpion maki,1
