american
,pizza,272
,cheese pizza,37
,chicken pizza,20
,hawaiian pizza,11
,margherita pizza,10
,flatbread pizza,10
,pepperoni pizza,9
,white pizza,8
,veggie pizza,7
,buffalo chicken pizza,7
,bbq chicken pizza,7
,breakfast pizza,7
,steak pizza,5
,slice,5
,pizza slice,5
,cheese pizzas,5
,alfredo pizza,4
,grilled flatbread pizza,4
,pizza of the day,4
,meat lovers pizza,3
,margarita pizza,3
,chicken parmesan pizza,3
,chicken pesto pizza,3
,pesto pizza,3
,mediterranean pizza,3
italian
,pizza,595
,cheese pizza,67
,chicken pizza,40
,pizzaiola,28
,pepperoni pizza,20
,thin crust pizza,17
,margherita pizza,15
,special,14
,bbq chicken pizza,14
,hawaiian pizza,12
,special pizza,11
,buffalo chicken pizza,11
,mediterranean pizza,10
,veggie pizza,10
,meat lovers pizza,9
,onion pizza,9
,vegetarian pizza,8
,breakfast pizza,8
,steak pizzaiola,8
,pesto pizza,7
,broccoli pizza,7
,bacon pizza,7
,sausage pizza,6
,garlic pizza,6
,alfredo pizza,6
mexican or latin
,pizza,2
,mexican pizza,1
,cheese pizza,1
cafe
,pizza,629
,chicken pizza,65
,cheese pizza,48
,calzone,47
,special pizza,31
,buffalo chicken pizza,27
,hawaiian pizza,24
,white pizza,20
,veggie pizza,19
,bbq chicken pizza,16
,pesto pizza,13
,alfredo pizza,13
,greek pizza,12
,special,11
,mediterranean pizza,10
,chicken fajita pizza,10
,meat lovers pizza,10
,margarita pizza,7
,steak pizza,7
,soda,7
,vegetarian pizza,7
,mexican pizza,7
,wings,6
,cheese pizzas,6
,pizza roll,6
deli
,pizza,620
,chicken pizza,65
,cheese pizza,48
,calzone,47
,special pizza,31
,buffalo chicken pizza,27
,hawaiian pizza,24
,veggie pizza,19
,white pizza,19
,bbq chicken pizza,16
,alfredo pizza,13
,pesto pizza,13
,greek pizza,11
,special,11
,mediterranean pizza,10
,chicken fajita pizza,10
,meat lovers pizza,10
,margarita pizza,7
,vegetarian pizza,7
,mexican pizza,7
,steak pizza,6
,chicken pesto pizza,6
,pizza roll,6
,supreme pizza,6
,grilled chicken pizza,5
bar
,pizza,9
,margherita pizza,2
,pita pizza,1
,mushroom pizza,1
,pizza of the day,1
,north end pizza,1
,chicken spinach pizza,1
,spinach pizza,1
,scallion,1
,grilled margherita pizza,1
,steak tip pizzaandcomma; truffled mashandcomma; fontina and scallion,1
,prosciutto,1
,prosciutto and artichoke white pizza,1
,white pizza,1
,pizza port panzer,1
,margarita pizza,1
,breakfast pizza,1
,fontina,1
grill
,pizza,21
,cheese pizza,4
,veggie pizza,3
,chicken pizza,3
,bbq chicken pizza,2
,pepperoni pizza,2
,mexican pizza,1
,buffalo chicken pizza,1
,mushroom pizza,1
,buffalo-style pizza,1
,meat lover's pizza,1
,n.c. bbq pulled pork pizza,1
,burger,1
,pizza fries,1
,fries,1
,build your own pizza,1
,margherita pizza,1
,pizza burger,1
,hawaiian pizza,1
,meat pizza,1
asian
,pizza,7
,sushi pizza,4
,pizza roll,1
,spicy tuna pizza,1
,salmon pizza#,1
,salmon pizza roll,1
,16. vietnamese style vegi-pizza,1
,sa06. sushi pizza,1
,a14. king salmon or tuna pizza,1
,15. oriental pizza,1
healthy
,pizza,5
,vietnamese pancake (pizza),1
,lamb vindaloo pizza,1
,paneer kadhai pizza,1
,chicken tikka masala pizza,1
,paneer saagwala pizza,1
ethnic
,pizza,30
,cheese pizza,3
,veggie pizza,2
,white pizza,2
,pepperoni pizza,2
,sicilian pizza,1
,spicy pepperoni pizza,1
,chicken dopizza,1
,roast lamb pide pizza,1
,kabab pizza,1
,smoked duck pizza,1
,flat bread pizza,1
,chicken caesar pizza,1
,bbq duck pizza,1
,traditional margherita pizza,1
,margherita pizza,1
,"""dolce vita"" grilled pizza",1
,sausage,1
,california pizza,1
,trukish pastrami pide pizza,1
,pesto pizza,1
,chicken pesto pizza,1
,hawaiian pizza,1
,goat cheese pizza,1
,margarita pizza,1
