american
,potatoes,165
,mashed potatoes,72
,potato,66
,fries,62
,potato fries,54
,sweet potato fries,54
,potato skins,31
,salad,23
,potato salad,22
,baked potato,22
,chips,20
,potato chips,20
,garlic mashed potatoes,14
,sweet potato,13
,breakfast potatoes,12
,soup,12
,gnocchi,11
,fingerling potatoes,11
,hash,10
,sweet potatoes,10
,potato gnocchi,10
,mashed potato,9
,fried potatoes,8
,roasted fingerling potatoes,8
,new potatoes,7
ethnic
,potatoes,12
,potato,7
,soup,3
,potato salad,2
,salad,2
,breakfast potatoes,2
,fries,2
,mashed potatoes,2
,spicy potato,2
,potato pancakes,2
,sweet potato fries,2
,potato fries,2
,potato borekas,2
,pancakes,2
,lyonnaise potatoes,2
,fried potato,1
,home made potato pierogies,1
,garlicky fried potato,1
,gyoza,1
,sweet potato pancakes,1
,sweet potato gyoza,1
,"french potato ""olivier"" salad",1
,croquette,1
,potato and coffee soup,1
,sweet potato dumplings,1
italian
,potatoes,88
,potato,32
,mashed potatoes,28
,roasted potatoes,16
,fries,15
,potato fries,14
,sweet potato fries,13
,gnocchi,12
,potato gnocchi,12
,peppers,9
,vinegar peppers,9
,salad,7
,sweet potato,7
,potato salad,7
,garlic mashed potatoes,7
,baked potato,6
,fingerling potatoes,6
,roasted fingerling potatoes,5
,sweet potatoes,5
,mashed potato,4
,new potatoes,4
,yukon gold potatoes,3
,chips,3
,potato skins,3
,soup,3
cafe
,potato,45
,salad,32
,potato salad,30
,fries,24
,potato fries,24
,sweet potato fries,24
,potato chips,18
,chips,18
,potatoes,18
,sweet potato,16
,mashed potatoes,10
,potato skins,8
,mashed potato,7
,baked potato,5
,potato pancakes,5
,pancakes,5
,potato gnocchi,4
,egg,4
,gnocchi,4
,potato and egg,3
,cream,2
,red bliss potato salad,2
,cake,2
,veggie burger,2
,garlic mashed potato,2
deli
,potato,28
,salad,22
,potato salad,20
,sweet potato fries,17
,fries,17
,potato fries,17
,potatoes,15
,potato chips,13
,chips,13
,mashed potatoes,9
,potato skins,7
,sweet potato,6
,baked potato,5
,mashed potato,5
,gnocchi,4
,pancakes,4
,potato pancakes,4
,egg,4
,potato gnocchi,4
,potato and egg,3
,potato wedges,2
,burger,2
,pancake,2
,sour cream,2
,macaroni salad,2
bar
,potatoes,16
,potato skins,12
,mashed potatoes,11
,potato fries,9
,fries,9
,sweet potato fries,9
,potato,8
,potato salad,3
,chips,3
,potato chips,3
,baked potato,3
,salad,3
,mashed potato,2
,roasted potatoes,2
,sweet potato,2
,house made potato chips,2
,crispy new potatoes,1
,new potatoes,1
,cod,1
,pulled pork,1
,pork,1
,wontons,1
,whipped salt cod and potato brandade,1
,crispy potato skins,1
,sweet potatoes,1
grill
,fries,12
,potato fries,10
,potatoes,10
,sweet potato fries,10
,salad,9
,potato salad,9
,mashed potatoes,5
,potato,4
,potato chips,3
,chips,3
,potato skins,3
,french fries,2
,sweet potato french fries,2
,baked potato,2
,pie,2
,sweet potato pie,2
,new potatoes,1
,scalloped potatoes,1
,fresh potato chips,1
,roasted rosemary potatoes,1
,salt and pepper potatoes,1
,potato wedges,1
,bacon cheddar potato wedges,1
,soup,1
,salt,1
asian
,potato,26
,potatoes,13
,sweet potato roll,11
,sweet potato,11
,maki,9
,sweet potato maki,8
,tempura,7
,sweet potato tempura,6
,hot,6
,shredded potato,6
,potato fries,4
,pepper,4
,tempura roll,4
,sweet potato tempura roll,4
,fries,4
,sweet potato fries,4
,shredded potato with vinegar,3
,vinegar,3
,slices,2
,sauce,2
,salad,2
,potato salad,2
,potato slices,2
,peppers,2
,r6. sweet potato roll,2
mexican or latin
,potato,3
,potatoes,2
,sweet potato fries,1
,fries,1
,potato fries,1
,mashed potato,1
,taco,1
,sweet potato taco,1
,potato taco,1
,pablano potato gratin,1
,chorizo mashed potato,1
,roasted new potatoes,1
,today's chefs potato,1
,roasted potatoes,1
,potato salad,1
,scrambled eggsandcomma; bacon and roasted new potatoes,1
,bacon,1
,salad,1
,new potatoes,1
,potato gratin,1
southern
,potatoes,4
,mashed potatoes,2
,mushrooms,1
,yukon gold potatoes,1
,whipped potatoes,1
,garlic whipped potatoes,1
,yukon gold potatoes and wild mushrooms,1
,wild mushrooms,1
,chorizo,1
,hash,1
,potato hash,1
,sweet potato hash,1
,fire roasted pork loin with a chorizo and monterey jack potato torta,1
,torta,1
healthy
,potato,9
,sweet potato,4
,curry,2
,cakes,1
,pancakes,1
,lemon-garlic smashed potatoes,1
,potato and celery root cakes,1
,soup,1
,chicken potato,1
,beef potato,1
,tofu potato,1
,roasted potato garlic soup,1
,smashed potatoes,1
,potato pancakes,1
,skewers a la carte - potato and vegetable,1
,beef,1
,beef and potato dosa,1
,potato skins,1
,sydney sweet potato,1
,dosa,1
,potato masala,1
,vegetable,1
,sweet potato and cauliflower curry (small),1
,small sweet potato and cauliflower curry,1
,sweet potato and cauliflower curry,1
