american
,salad,1655
,caesar salad,218
,chicken salad,128
,cobb salad,84
,house salad,66
,greek salad,59
,spinach salad,54
,garden salad,53
,green salad,42
,beet salad,40
,sandwich,39
,tuna salad,38
,chopped salad,34
,wedge salad,33
,chicken,31
,arugula salad,24
,chicken caesar salad,22
,potato salad,22
,steak salad,19
,side salad,19
,kale salad,18
,fruit salad,18
,chef salad,18
,classic caesar salad,17
,steak,17
ethnic
,salad,304
,greek salad,22
,salad plate,20
,garden salad,19
,caesar salad,13
,fattoush salad,10
,chicken salad,9
,falafel salad plate,9
,green salad,9
,wrap,9
,pita,8
,beet salad,7
,hummus falafel salad plate,7
,salad in pita,6
,hummus salad plate,6
,mediterranean salad,6
,tuna salad,5
,shawarma salad,5
,eggplant salad,5
,house salad,5
,plate with salad,5
,cucumber salad,5
,nicoise,5
,ensalada mixta,4
,kale salad,4
italian
,salad,888
,caesar salad,132
,chicken salad,83
,garden salad,51
,greek salad,50
,tuna salad,45
,wrap,32
,house salad,26
,chicken caesar salad,25
,caprese salad,25
,antipasto salad,23
,chef salad,23
,arugula salad,18
,cobb salad,18
,grilled chicken salad,16
,sandwich,15
,green salad,14
,chicken,13
,spinach salad,13
,chopped salad,11
,lobster salad,10
,avocado salad,9
,steak tip salad,8
,chicken salad sub,8
,grilled chicken caesar salad,8
mexican or latin
,salad,104
,taco salad,14
,caesar salad,9
,chicken salad,8
,pollo,4
,garden salad,4
,avocado salad,3
,ensalada,3
,beet salad,3
,chicken,3
,side salad,2
,grilled chicken salad,2
,cesar's salad,2
,santa fe chicken salad,2
,camarones,2
,tuna salad,2
,bbq chicken salad,2
,caesar,2
,asada,2
,chicken caesar salad,2
,salmon salad,2
,veggie taco salad,2
,shrimp salad,2
,con pollo,2
,steak salad,2
cafe
,salad,1450
,chicken salad,192
,caesar salad,157
,greek salad,116
,garden salad,106
,tuna salad,102
,sandwich,81
,chef salad,59
,egg salad,44
,chicken caesar salad,39
,chicken,38
,wrap,34
,antipasto salad,33
,spinach salad,31
,cobb salad,31
,potato salad,30
,grilled chicken salad,30
,chicken salad sandwich,27
,buffalo chicken salad,24
,house salad,23
,steak tip salad,20
,green salad,19
,tuna salad sandwich,18
,seafood salad,18
,grilled chicken,17
deli
,salad,1164
,chicken salad,152
,caesar salad,141
,greek salad,100
,garden salad,93
,tuna salad,79
,sandwich,62
,chef salad,51
,chicken caesar salad,36
,chicken,35
,antipasto salad,33
,egg salad,33
,grilled chicken salad,28
,spinach salad,27
,wrap,24
,cobb salad,22
,chicken salad sandwich,22
,house salad,21
,potato salad,20
,buffalo chicken salad,20
,steak tip salad,19
,grilled chicken,17
,tuna salad sandwich,15
,chicken salad sub,15
,grilled chicken caesar salad,14
grill
,salad,110
,caesar salad,20
,garden salad,10
,chicken salad,9
,potato salad,9
,chicken caesar salad,5
,soup,4
,house salad,4
,chicken,4
,buffalo chicken salad,3
,spinach salad,3
,cobb salad,3
,side salad,3
,fruit salad,3
,greek salad,3
,kale salad,3
,noodles,2
,dinner salad,2
,salad with chicken,2
,southwestern chicken salad,2
,wedge salad,2
,harvest kale salad,2
,baby spinach salad,2
,with chicken,2
,taco salad,2
asian
,salad,715
,seaweed salad,104
,avocado salad,60
,seafood salad,39
,house salad,38
,green salad,30
,chicken salad,30
,papaya salad,25
,tuna salad,21
,garden salad,19
,spicy seafood salad,17
,beef salad,16
,tofu salad,16
,sashimi salad,16
,mango salad,12
,spicy tuna salad,11
,thai salad,10
,squid salad,9
,kani salad,9
,salmon salad,9
,shrimp salad,9
,grilled chicken salad,8
,avocado seafood salad,7
,avocado green salad,7
,som tum salad,6
healthy
,salad,114
,chicken salad,10
,tuna salad,7
,green salad,7
,caesar salad,7
,garden salad,5
,greek salad,4
,cobb salad,3
,caprese salad,3
,chopped salad,3
,chef salad,3
,wrap,3
,fruit salad,3
,sandwich,3
,frozen yogurt,3
,yogurt,3
,shawarma salad,2
,spinach salad,2
,sandwich box,2
,tea salad,2
,seaweed salad,2
,god salad,2
,falafel salad,2
,shrimp salad,2
,mango salad,2
southern
,salad,6
,tender romaine salad and crispy blue corn tortillas,1
,tortillas,1
,kale salad,1
,southwest cobb salad,1
,cobb salad,1
,arugula salad,1
,caesar salad,1
,garden salad,1
bar
,salad,156
,caesar salad,34
,chicken salad,12
,cobb salad,11
,garden salad,10
,chopped salad,8
,house salad,7
,chicken caesar salad,6
,mixed green salad,4
,spinach salad,4
,tuna salad,4
,sandwich,4
,green salad,4
,buffalo chicken salad,3
,side salad,3
,greek salad,3
,classic caesar salad,3
,chicken salad sandwich,3
,steak salad,3
,potato salad,3
,steak tip salad,3
,egg salad,2
,arugula salad,2
,mj chopped salad,2
,dooleys chopped salad,2
desserts
,mediterranean tuna salad sandwich,1
,tuna salad sandwich,1
,sandwich,1
