american
,sandwich,779
,chicken sandwich,137
,fish sandwich,42
,grilled chicken sandwich,40
,cheese sandwich,39
,pork sandwich,35
,egg sandwich,34
,pulled pork sandwich,23
,club sandwich,23
,breakfast sandwich,23
,turkey sandwich,22
,steak sandwich,22
,grilled cheese sandwich,19
,chicken salad sandwich,14
,fried chicken sandwich,13
,half sandwich,12
,cuban sandwich,11
,crab cake sandwich,11
,buffalo chicken sandwich,10
,haddock sandwich,10
,tuna sandwich,10
,salmon sandwich,9
,sandwiches,9
,roast beef sandwich,9
,ham,8
italian
,sandwich,256
,chicken sandwich,30
,fish sandwich,22
,cheese sandwich,19
,club sandwich,18
,grilled chicken sandwich,12
,ham,9
,egg,9
,steak,7
,sandwich box,7
,steak sandwich,7
,egg sandwich,6
,grilled cheese sandwich,6
,meatball sandwich,5
,crab cake sandwich,4
,fried fish sandwich,4
,chicken cutlet sandwich,4
,sandwiches,3
,pulled pork sandwich,3
,coffee,3
,blt sandwich,3
,buffalo chicken sandwich,3
,caprese sandwich,3
,turkey sandwich,3
,sandwich plate,3
ethnic
,sandwich,100
,cheese sandwich,5
,ham,3
,gyro sandwich,3
,souvlaki sandwich,3
,chicken sandwich,3
,grape leaves sandwich,3
,fresh mozzarella sandwich,2
,egg sandwich,2
,sandwiches,2
,caprese sandwich,2
,egg,2
,chicken caprese sandwich,2
,mushroom sandwich,2
,cheese,2
,turkey sandwich,2
,club sandwich,2
,breakfast sandwich,2
,fried egg sandwich,2
,34. halloumi sandwich,1
,40. tabbooli sandwich,1
,37. cauliflower sandwich,1
,38. okra sandwich,1
,39. batata harra sandwich,1
,36. moujadara sandwich,1
cafe
,sandwich,916
,cheese sandwich,91
,club sandwich,57
,chicken sandwich,52
,ham,34
,egg sandwich,31
,egg,29
,chicken salad sandwich,27
,turkey sandwich,26
,breakfast sandwich,24
,sandwiches,22
,roast beef sandwich,22
,grilled chicken sandwich,21
,tuna salad sandwich,18
,sandwich only,16
,fish sandwich,15
,pastrami sandwich,14
,blt sandwich,14
,grilled cheese sandwich,14
,ham and cheese sandwich,13
,cheese,13
,soup,13
,egg salad sandwich,11
,steak,11
,turkey,10
deli
,sandwich,704
,cheese sandwich,68
,club sandwich,57
,chicken sandwich,44
,ham,26
,chicken salad sandwich,22
,grilled chicken sandwich,20
,egg,19
,egg sandwich,19
,roast beef sandwich,18
,turkey sandwich,18
,sandwich only,16
,tuna salad sandwich,15
,fish sandwich,14
,pastrami sandwich,12
,soup,11
,ham and cheese sandwich,11
,sandwiches,11
,grilled cheese sandwich,11
,blt sandwich,11
,turkey,10
,turkey club sandwich,9
,steak,9
,cheese,8
,egg salad sandwich,8
grill
,sandwich,79
,chicken sandwich,17
,pork sandwich,6
,brisket sandwich,5
,pulled pork sandwich,5
,cheese,3
,egg sandwich,3
,beef brisket sandwich,3
,cheese sandwich,3
,grilled chicken sandwich,3
,bacon,3
,meatloaf sandwich,2
,reuben sandwich,2
,grilled cheese sandwich,2
,grilled chicken breast death sandwich,2
,bbq pulled chicken sandwich,2
,bbq texas beef brisket sandwich,2
,bbq pulled pork sandwich,2
,pulled chicken sandwich,2
,with cheese,2
,chicken,2
,fried chicken sandwich,2
,buffalo chicken sandwich,2
,cuban sandwich,2
,chicken breast sandwich,2
asian
,sandwich,19
,chicken sandwich,3
,egg sandwich,2
,sushi sandwich,1
,fd3. chicken sandwich with french fries,1
,french fries,1
,fries,1
,cookie,1
,ham sandwich,1
,pretty good chicken sandwich,1
,pork sandwich,1
,bbq pork sandwich,1
,gra prow sandwich,1
,bbq chicken sandwich,1
,bbq beef sandwich,1
,p43. minced beef sandwich cake,1
,regular sandwich,1
,cornmeal lime sandwich cookie,1
,cheese sandwich,1
,ham,1
,sliced beef sandwich,1
,ham and egg sandwich,1
,japanese mini pancake sandwich,1
,steamed bun sandwich,1
,h18. seafood sandwich,1
mexican or latin
,sandwich,12
,chicken sandwich,2
,steak sandwich,2
,pork sandwich,2
,french dip sandwich,1
,smoked sausage sandwich,1
,sausage sandwich,1
,house smoked sausage sandwich,1
,jalapeno peach chicken sandwich,1
,whole steak sandwich,1
,grilled chicken sandwich,1
,brisket sandwich,1
,seasonal vegetable sandwich,1
,ham,1
,egg and cheese sandwich,1
,torta-mexican sandwich,1
,pulled pork sandwich,1
,mexican style sandwiches,1
,egg,1
,cheese sandwich,1
,sandwiches,1
,"egg,1
,"egg and cheese sandwich with ham,1
,tortas (mexican sandwich),1
healthy
,sandwich,47
,sandwich box,7
,half sandwich,4
,chicken sandwich,4
,yogurt,3
,grilled chicken sandwich,3
,frozen yogurt,3
,egg sandwich,3
,roast beef,2
,ham,2
,beef,2
,falafel sandwich,2
,babaghanoush,2
,turkey,2
,caprese sandwich,2
,steak sandwich,2
,black forest ham,2
,chicken salad sandwich,1
,avocado sandwich,1
,tuna salad sandwich,1
,cheese sandwich,1
,grilled cheese sandwich,1
,seafood cake sandwich,1
,turkey and avocado sandwich,1
,chicken tawook sandwich,1
southern
,sandwich,2
,smoked turkey sandwich,1
,house smoked turkey sandwich,1
,turkey sandwich,1
,fried chicken and baconnaise sandwich,1
,fried chicken,1
,chicken,1
bar
,sandwich,81
,chicken sandwich,24
,breakfast sandwich,6
,fried chicken sandwich,5
,pulled pork sandwich,4
,fish sandwich,4
,grilled chicken sandwich,4
,pork sandwich,4
,cheese sandwich,3
,turkey sandwich,3
,chicken salad sandwich,3
,irish breakfast sandwich,2
,sandwiches,2
,grilled bbq chicken sandwich,2
,steak sandwich,2
,bbq chicken sandwich,2
,corned beef sandwich,2
,chicken sandwich deluxe,1
,tuna salad sandwich,1
