american
,burger,917
,cheeseburger,108
,veggie burger,75
,hamburger,64
,turkey burger,62
,cheese burger,38
,bacon cheeseburger,19
,salmon burger,18
,breakfast burger,17
,bacon burger,17
,fries,16
,bean burger,14
,tuna burger,14
,black bean burger,13
,classic burger,13
,bleu burger,12
,bbq burger,11
,burgers,10
,house burger,10
,garden burger,10
,club,10
,cheese,9
,sliders,9
,beef burger,9
,texas burger,8
ethnic
,burger,41
,hamburger,4
,veggie burger,4
,beef burger,4
,chicken burger,3
,cheeseburger,3
,grass fed burger,2
,pita,2
,strauss grass fed burger,2
,schlow burger,2
,hamburger with salad in pita,2
,lamb burger,2
,salad in pita,2
,angus burger,2
,cheese burger,2
,sirloin burger,2
,hamburger with french fries,2
,french fries,2
,fries,2
,the schlow burger,1
,grilled sirloin beef burger,1
,druid burger,1
,grilled french burger,1
,prb burger,1
,druid veggie burger,1
italian
,burger,118
,cheeseburger,59
,hamburger,42
,cheeseburger sub,14
,cheese burger,10
,burgers,10
,fries,8
,club,8
,veggie burger,8
,bacon cheeseburger,8
,wrap,8
,pizza,7
,tuna burger,7
,cheeseburger plate,6
,bacon burger,5
,cheeseburger basket,5
,salmon burger,4
,hamburger sub,4
,cheeseburger club,4
,cheese,4
,double cheeseburger,4
,beef burger,4
,hamburger club,4
,cheeseburger pizza,3
,cheeseburger dinner,3
cafe
,burger,279
,cheeseburger,129
,hamburger,73
,bacon cheeseburger,35
,veggie burger,34
,cheeseburger sub,30
,turkey burger,21
,club,21
,fries,18
,dinner,17
,sandwich,16
,cheeseburger club,13
,cheese burger,12
,cheeseburger dinner,12
,swiss burger,11
,hamburger sub,10
,double cheeseburger,9
,chicken burger,9
,cheeseburger plate,9
,salmon burger,8
,cheddar burger,8
,mushroom swiss burger,7
,calzone,6
,hamburger club,6
,club sandwich,6
deli
,burger,220
,cheeseburger,109
,hamburger,62
,veggie burger,30
,cheeseburger sub,30
,bacon cheeseburger,28
,fries,18
,dinner,17
,turkey burger,16
,cheeseburger dinner,12
,club,12
,sandwich,12
,hamburger sub,10
,cheese burger,10
,cheeseburger plate,9
,swiss burger,9
,double cheeseburger,9
,cheddar burger,8
,cheeseburger club,7
,chicken burger,6
,calzone,6
,cheeseburger club sandwich,6
,club sandwich,6
,cheeseburger with fries,5
,mushroom swiss burger,5
bar
,burger,113
,veggie burger,13
,cheeseburger,7
,cheese burger,6
,turkey burger,5
,bean burger,4
,black bean burger,4
,cheeseburger sliders,3
,breakfast burger,3
,sliders,3
,hamburger,3
,beef burger,2
,mini burgers,2
,fries,2
,burgers,2
,mj's burger,2
,dublin burger,2
,angus burger,2
,salmon burger,2
,lamb burger,2
,mini burgers and fries,2
,6. veggie burger,1
,classic cheeseburger,1
,5. turkey burger,1
,the ned burger,1
grill
,burger,113
,cheeseburger,21
,veggie burger,13
,hamburger,12
,turkey burger,6
,bacon cheeseburger,5
,cheese burger,5
,bacon burger,4
,jalapeno burger,4
,house burger,4
,texas burger,3
,cheddar burger,3
,california burger,3
,breakfast burger,3
,bbq burger,2
,build your own burger,2
,salad,2
,a burger,2
,burgers,2
,onion burger,2
,bleu burger,2
,black,2
,mushroom burger,2
,bacon cheddar burger,2
,buffalo burger,2
mexican or latin
,burger,9
,hamburger,3
,turkey burger,1
,steam beerburger,1
,wimpy burgers,1
,veggie burger and,1
,oceanburger,1
,cheeseburger,1
,mexicana burger,1
,baja burger,1
,burgers,1
,toro burger,1
,causeway patty melt burger,1
,patty melt burger,1
,cheese burger,1
,swiss burger,1
,mushroom swiss burger,1
,smoke house cheddar burger,1
,cheddar burger,1
,matador burger,1
southern
,masa burger with monterey jack,1
,lorettas burger,1
,burger,1
healthy
,burger,7
,hamburger,2
,turkey burger,2
,veggie burger,2
,dosa,1
,cheese burger,1
,saburger,1
,double hamburger,1
,cheeseburger dosa,1
,salmon burger,1
,grilled mediterranean turkey burger,1
,chicken burger,1
,grilled chicken burger,1
,quinoa burger on arugula with spicy almond spread,1
asian
,burger,5
,hamburger,2
,french fries,2
,fries,2
,cheeseburger,1
,km4. kid's cheese burger with french fries,1
,cheese burger,1
,double cheese burger,1
,fd2. cheese burger with french fries,1
,white castle burger roll,1
,chicken burger,1
,mini burgers,1
,burgers,1
,a20. chinese hamburger,1
,teriyaki bison mini burgers,1
,dragon burger,1
,chicken ka-pow burger,1
,kimchi burger,1
,thai spicy crispy chicken burger,1
