american
,burrito,86
,breakfast burrito,31
,chicken burrito,7
,burritos,6
,steak burrito,4
,vegetarian burrito,3
,chicken burrito plate,3
,beef burrito,2
,supreme,2
,burrito paisa,2
,style,2
,steak burrito plate,2
,burrito bowl,2
,bowl,2
,tongue burrito - regular,1
,meg's american burrito,1
,choriza burrito,1
,breakfast burrito carrizal,1
,tongue burrito - supreme,1
,supreme vegetarian burrito,1
,regular,1
,tropical fried chicken burrito,1
,baja steak burrito,1
,texicalli burrito,1
,big boy burrito (beef or chicken),1
cafe
,burrito,71
,breakfast burrito,35
,chicken burrito,7
,steak burrito,3
,burritos,3
,teriyaki burrito,3
,burrito grande,3
,egg,3
,grande,3
,veggie burrito,2
,sausage,2
,cheese burrito,2
,hacienda burrito,1
,roasted vegetable burrito,1
,sandwiches,1
,breakfast burritos and sandwiches,1
,vegetable burrito,1
,beef burrito,1
,sausage and cheese breakfast burrito,1
,italian sausage,1
,spicy italian sausage and cheese breakfast burrito,1
,veggie with cheese breakfast burrito,1
,chicken burrito grande,1
,rolls,1
,max's breakfast burrito,1
deli
,burrito,45
,breakfast burrito,19
,chicken burrito,6
,steak burrito,3
,teriyaki burrito,3
,burrito grande,3
,grande,3
,cheese burrito,2
,burritos,2
,egg,2
,veggie burrito,2
,roasted vegetable burrito,1
,breakfast burritos and sandwiches,1
,vegetable burrito,1
,sandwiches,1
,beef burrito,1
,rolls,1
,burrito rolls,1
,hacienda burrito,1
,pepperjack breakfast burrito,1
,classic steak burrito,1
,chicken teriyaki burrito,1
,steak teriyaki burrito,1
,pepper jack breakfast burrito,1
,classic chicken burrito,1
grill
,burrito,6
,shredded beef burrito,1
,beef burrito,1
,el grande burrito,1
,pollo verde burrito,1
,vegetarian burrito,1
,burrito platter,1
,burrito with everything,1
,burrito bowl,1
,breakfast burrito,1
,super burrito,1
,everything,1
,bowl,1
italian
,burrito,11
,breakfast burrito,4
,chicken burrito,2
,jupiter breakfast burrito,1
,sunrise breakfast burrito,1
,black bean burrito,1
,pret's chicken burrito,1
,vegetable,1
,beef burrito,1
,roasted vegetable and black bean burrito,1
,roasted vegetable,1
mexican or latin
,burrito,112
,grande,13
,burrito grande,13
,chicken burrito,11
,chicken,6
,cheese burrito,5
,shrimp burrito,5
,steak,5
,carnitas burrito,4
,breakfast burrito,4
,steak burrito,4
,vegetable burrito,4
,burritos,4
,rice,3
,cheese,3
,pollo,2
,al pastor burrito,2
,adobada,2
,tofu chile adobo burrito,2
,fajita burrito,2
,beef burrito,2
,beans,2
,seafood burrito,2
,fish burrito,2
,res,2
ethnic
,burrito,3
,kitchen sink breafkast burrito,1
,breakfast burrito,1
,banh mi burrito,1
healthy
,chicken burrito with tomato salsa,1
,burrito,1
,chicken burrito,1
,pret's chicken burrito,1
,tomato salsa,1
,salsa,1
,black bean burrito with pico de gallo,1
,verde,1
,salsa verde,1
,yucatan pork burrito with salsa verde,1
,pico de gallo,1
bar
,burrito,4
,breakfast burrito,2
,brunch burrito,1
,black bean burrito,1
,tofu breakfast burrito,1
,grilled chickenandcomma; pepperoniandcomma; green chilliandcomma; and egg breakfast burrito,1
asian
,burrito roll,1
southern
,the ultimate breakfast burrito,1
,breakfast burrito,1
,burrito,1
