american
,chips,291
,fish,140
,fish and chips,92
,salsa,24
,chips and salsa,21
,potato chips,20
,beer battered fish and chips,14
,pita chips,7
,fish n chips,7
,chili,6
,chips and dip,5
,tortilla chips,5
,guacamole,5
,cod,5
,chicken,4
,chicken and chips,4
,salt,4
,fish n' chips,4
,fish n' chips,4
,onion dip,3
,guacamole and chips,3
,chili and chips,3
,pickle chips,3
,cheese,3
,haddock,3
italian
,chips,76
,fish,43
,fish and chips,24
,fish n chips,4
,potato chips,3
,chocolate chips,3
,cape cod chips,2
,dinner,2
,cannoli with chocolate chips,2
,beer battered fish and chips,2
,fresh fish,2
,fresh fish and chips,2
,special,2
,fish and chips plate,2
,fried fish,2
,fried fish and chips,2
,fish 'n chips,1
,haddock 'n chips,1
,fish and chips dinner plate,1
,fish and chips dinner,1
,classic fish and chips,1
,guac chips and dip,1
,ham,1
,large ham and cheese subandcomma; chips and a drink special,1
,sole 'n chips,1
modern european
,chips,6
,fish,4
,fish and chips,2
,salsa,1
,druid fish and chips,1
,chips and salsa,1
,cork fish and chips,1
,potato chips,1
,house made potato chips,1
cafe
,chips,116
,fish,43
,fish and chips,27
,potato chips,18
,chocolate chips,8
,dinner,8
,fish and chips dinner,6
,bag of chips,3
,pita chips,3
,white chocolate chips,3
,salsa,3
,chips and salsa,2
,pretzels,2
,peanut butter chips,2
,yogurt chips,2
,carob chips,2
,fish n' chips plate,2
,kettle chips,2
,potato chips and pretzels,1
,cherries,1
,tortilla chips,1
,chips with two green dips,1
,lay`s potato chips,1
,tortilla chipsandcomma; salsa,1
,dark chocolate chips,1
deli
,chips,82
,fish,36
,fish and chips,21
,potato chips,13
,dinner,8
,fish and chips dinner,6
,bag of chips,3
,pita chips,3
,kettle chips,2
,pretzels,2
,chips and salsa,2
,fish n' chips plate,2
,salsa,2
,tortilla chips,1
,chips with two green dips,1
,chips and pretzels,1
,chicken caesar wrap with chips,1
,pop chips,1
,lay`s potato chips,1
,potato chips and pretzels,1
,"chips,1
,fresh fish,1
,fish n chips,1
,fresh fish and chips,1
,any small sub 12 oz soda and bag of chips,1
mediterranean
,chips,6
,fish and chips,2
,fish,2
,gozi chips,2
,gozi chips and hummus,1
,hummus,1
,pita chips,1
,bag of chips,1
,fresh made pita chips,1
bar
,chips,61
,fish,26
,fish and chips,18
,salsa,8
,chips and salsa,7
,potato chips,3
,beans,2
,ale battered fish and chips,2
,bangers,2
,chicken,2
,bangers and chips,2
,house made potato chips,2
,chips and dip,1
,cod,1
,crispy cod and chips,1
,harp battered fish and chips,1
,poke of chips,1
,hand-cut chips,1
,dublin fish and chips,1
,bangersandcomma; beans and chips,1
,guacamole,1
,bag of utz chips,1
,bangersandcomma; beansandcomma; and mashed or chips,1
,bangers beans and mashed or chips,1
,chips and guacamole,1
grill
,chips,22
,fish and chips,5
,fish,5
,salsa,4
,potato chips,3
,chips and salsa,3
,tortilla chips,2
,salsa and corn tortilla chips,1
,kid's pb and j and chips,1
,pb,1
,kid's grilled cheese,1
,fresh potato chips,1
,grilled cheese,1
,guacamole and corn tortilla chips,1
,guacamole,1
,deep river potato chips,1
,chips and dip,1
,spinach and artichoke dip with chips,1
,cape cod chips,1
,dips and chips,1
,fish n' chips,1
,spinach,1
,chicken and chips,1
,kid's grilled cheese and chips,1
,fish n chips,1
asian
,chips,14
,wonton chips,4
,fish,2
,potato chips,2
,scallop,1
,hummus,1
,spicy tuna on crispy wonton chips,1
,spicy fresh scallop and wonton chips,1
,spicy fresh scallop,1
,tacos,1
,crispy fish,1
,crispy fish and chips tacos,1
,sweet potato chips and horseradish dip,1
,edamame hummus and taro chips,1
,whipped edamame hummus with spiced pita chips,1
,salmon wonton chips,1
,fish n` chips,1
,fish n' chips,1
,renkon chips,1
,itadaki fish and chips,1
,fish 'n chips,1
,pita chips,1
,japanese sweet potato chips,1
,lotus chips,1
mexican or latin
,chips,71
,salsa,27
,guacamole,22
,tortilla chips,15
,chips and salsa,12
,chips and guacamole,11
,tortilla chips and salsa,2
,pico de gallo,2
,corn chips,2
,guacamole and chips,2
,chips with salsa,2
,pico de gallo and chips,2
,chips y salsa,2
,"chips,2
,fish,1
,bag of chips,1
,fish and curly chips,1
,chips and salsas,1
,sd03. side of chips and salsa,1
,salsa con chips,1
,sd07. side of tortilla chips,1
,chips with guacamole,1
,large guacamole,1
,tortilla chips with pinto dip,1
,large chips and salsa,1
healthy
,chips,10
,sea salt chips,1
,salt and vinegar chips,1
,salt,1
,pita chips,1
,rosemary,1
,bbq chips,1
,carob chips,1
,kale chips,1
,chips and salsa,1
,salsa,1
,rosemary and olive oil chips,1
desserts
,chips,9
,chocolate chips,5
,yogurt chips,2
,dirty chips,1
,milk chocolate chips,1
,white choc. chips,1
,white chocolate chips,1
,mini chocolate chips,1
other
,chips,1
,white fish,1
,fish,1
,seasonal white fish and chips,1
southern
,hand-cut corn tortilla chips,1
,tortilla chips,1
,chips,1
middle eastern
,chips,1
,salsa,1
,salsa and chips,1
