american
,chorizo,21
,chorizo con arepa,3
,huevos con chorizo,2
,benedict,1
,chorizo hash potatoes,1
,eggs benedict,1
,chorizo hash breakfast bowl,1
,arepa con chorizo,1
,bowl,1
,breakfast bowl,1
,chorizo eggs benedict,1
,potatoes,1
,chuletas con chorizo,1
,fried egg,1
,desayuno con chorizo,1
,chorizo iberico de bellota,1
,"chorizo,1
,egg,1
,hash,1
,steamed mussels with chorizo,1
,chorizo colombiano,1
,scratch chorizo hash and fried egg,1
,vegetarian chorizo,1
,lollipop,1
,lobster and chorizo,1
ethnic
,chorizo,8
,plancha,4
,chorizo a la plancha,4
,pollo y chorizo,2
,chorizo a la sidra,1
,chorizo and sweet-sour figs,1
,manchego,1
,homemade chorizo,1
,iberico chorizo,1
,arañitas de chorizo y pimientos,1
,pincho de pollo y chorizo,1
,chorizo y manchego,1
,aguacate,1
,black bean chorizo,1
,chorizos borrachos,1
,grilled chorizo sausage,1
,tortilla y chorizo,1
,pintxo de chorizo,1
,con aguacate,1
,sausage,1
,chorizo al jerez con aguacate,1
italian
,chorizo,4
,quesadilla,1
,chorizo quesadilla,1
,steamed mussels with chorizo,1
,frittataandcomma; chorizo,1
,chorizo pizza,1
,pizza,1
,shrimp,1
,grilled shrimp,1
,lollipop,1
,grilled shrimp and chorizo lollipop,1
cafe
,chorizo,3
,chorizo and vegetable potato hash,1
,seitan chorizo,1
,hash,1
,potato hash,1
,spicy chicken chorizo pizza,1
,chorizo pizza,1
,sausage,1
,omelet,1
,pizza,1
,spicy chicken chorizo sausage and black bean home fries or omelet,1
deli
,chorizo pizza,1
,spicy chicken chorizo pizza,1
,pizza,1
,chorizo,1
,sausage,1
,omelet,1
,spicy chicken chorizo sausage and black bean home fries or omelet,1
mexican or latin
,chorizo,16
,huevos con chorizo,5
,taco,2
,chorizo quesadilla,2
,quesadilla,2
,chorizo burrito,2
,burrito,2
,nachos and chorizo,1
,chorizo de la casa,1
,de la casa,1
,casa,1
,chorizo tostada,1
,tacos,1
,chorizo tacos,1
,tostada,1
,nachos,1
,empanadas de pollo con chorizo,1
,potato,1
,cutlet,1
,grilled chorizo cutlet,1
,chorizo seitan taco,1
,"chorizo,1
,chorizo mashed potato,1
,chorizo enchiladas,1
,molletes con huevos con chorizo,1
healthy
,chorizo,1
grill
,chorizo,1
southern
,chorizo,4
,fire roasted pork loin with a chorizo and monterey jack potato torta,1
,torta,1
,southwestern spring rolls or poblanoandcomma; chorizo,1
,cheese,1
,creamy scrambled eggs with chorizo and mexican farmer's cheese,1
,chutney,1
,grilled chorizo with cranberry chutney,1
