american
,falafel,10
,wrap,6
,falafel wrap,4
,burger,4
,falafel burger,4
,falafel sandwich,2
,hummus roll-up,2
,sandwich,2
,hummus,2
,chickpea falafel burger,2
,falafel dinner,1
,salad,1
,falafel salad,1
,falafel and hummus roll-up and wrap,1
,dinner,1
,falafel fold-over,1
,33. falafel wrap,1
,33. falafel sub,1
,spinach wrap,1
,barley falafel and spinach wrap,1
,pancakes,1
,falafel pancakes,1
,house-made falafel,1
,24a. falafel hummus,1
,garlic,1
cafe
,falafel,24
,wrap,10
,falafel wrap,9
,falafel plate,6
,sandwich,5
,hummus,4
,falafel roll-up,4
,falafel sandwich,4
,falafel platter,2
,hummus roll-up,2
,dinner,2
,falafels,2
,falafel rollup,1
,falafel pita,1
,hummus and falafel plate,1
,tabouli,1
,hollywood falafel,1
,pita,1
,fantastic falafel rollup,1
,side falafel,1
,falafel-vegetarian burger roll-up,1
,falafel burger,1
,flatbread,1
,chickpea falafel on flatbread,1
,spinach falafel,1
deli
,falafel,18
,wrap,7
,falafel wrap,6
,falafel roll-up,4
,falafel plate,3
,hummus,3
,hummus roll-up,2
,sandwich,2
,falafel platter,2
,dinner,2
,falafels,2
,falafel roll up,1
,baked falafel,1
,falafel pocket,1
,falafel dinner,1
,hummus and falafel,1
,salad,1
,falafel salad,1
,tabouli and falafel plate,1
,tabouli,1
,hummus and falafel plate,1
,hollywood falafel,1
,falafel rollup sandwich,1
,falafel pita stuffer,1
,chicken falafels,1
mediterranean
,falafel,14
,wrap,3
,falafel salad,2
,falafel wrap,2
,salad,2
,falafel plate,2
,3 falafel,1
,1 falafel,1
,6 falafel,1
,tahini,1
,falafel rollup,1
,chicken shawarma plate,1
,falafel and chicken shawarma plate,1
,chicken shawarma rollup,1
,falafel and chicken shawarma rollup,1
,falafel and tahini,1
,hummus and falafel salad,1
,spinach falafel,1
,fries,1
,falafel and fries,1
,greek falafel,1
,sandwich,1
,falafel gozi flat bread sandwich,1
,falafel pita wrap,1
,falafel (served w/hommus),1
italian
,falafel,8
,wrap,4
,falafel wrap,3
,falafel plate,2
,falafel mezze salad,1
,falafel and red peppers hot wrap,1
,pot,1
,33. falafel sub,1
,33. falafel wrap,1
,falafel power pot,1
,salad,1
,greek falafel wrap,1
,hummus and falafel,1
,special,1
,falafels,1
,14. falafel wrap special,1
,falafel roll up,1
,hummus,1
,falafel roll-up,1
,green pea falafel,1
healthy
,falafel,4
,salad,3
,sandwich,2
,wrap,2
,falafel plate,2
,meal,2
,falafel meal,2
,falafel sandwich,2
,falafel salad,2
,falafel roll up,1
,grape leaves,1
,falafel patties,1
,fried falafel meal,1
,hummusandcomma; grape leaves and falafel salad,1
,baked falafel meal,1
,falafel ball,1
,greek falafel wrap,1
,falafel ground,1
,falafel box,1
,falafel (5 pcs),1
,falafel - 2 pieces,1
,falafel mezze salad,1
,pot,1
,falafel wrap,1
,falafel and red peppers hot wrap,1
middle eastern
,falafel,30
,salad plate,10
,falafel salad plate,9
,falafel plate,8
,hummus falafel salad plate,7
,pita,5
,salad,4
,falafel ball,3
,falafel in pita,3
,falafel platter,2
,10. falafel,2
,hummus,2
,with hummus,2
,falafel roll-up,2
,grilled chicken hummus falafel salad plate,2
,falafel salad,2
,baba ghanoush,2
,baba hummus falafel salad plate,1
,1. falafel roll-up,1
,falafel meal,1
,kabab hummus falafel salad plate,1
,schnitzel hummus falafel salad plate,1
,meal,1
,2. falafel platter,1
,combo,1
bar
,falafel wrap,1
,wrap,1
