american
,fish,183
,chips,152
,fish and chips,92
,tacos,60
,fish tacos,57
,sandwich,49
,swordfish,49
,fish sandwich,42
,catfish,15
,grilled swordfish,14
,beer battered fish and chips,14
,fried fish,10
,monkfish,10
,taco,8
,ipa,8
,fisherman's platter,8
,bluefish,8
,shellfish platter,8
,fish n chips,7
,stew,6
,steak,6
,chowder,6
,fried fish sandwich,6
,fish taco,6
,fisherman's brew,5
italian
,fish,65
,chips,43
,swordfish,36
,sandwich,28
,fish and chips,24
,fish sandwich,22
,tacos,12
,fish tacos,11
,grilled swordfish,11
,fish sub,8
,fish plate,8
,steak,6
,swordfish steak,6
,wrap,5
,shellfish platter,5
,fisherman's platter,5
,chowder,5
,stew,5
,fish chowder,4
,bluefish,4
,fish n chips,4
,ipa,4
,fried fish sandwich,4
,dinner,4
,shellfish tower,4
modern european
,fish,5
,chips,4
,fish and chips,2
,fish stick,2
,frites,1
,fish stick and frites,1
,fish platter,1
,dog fish head 60 minute ipa (de),1
,assorted smoked fish platter,1
,druid fish and chips,1
,sandwich,1
,fish sandwich,1
,fish chowder,1
,chowder,1
,crispy fish,1
,fish of the day,1
,cork fish and chips,1
,cakes,1
,roasted swordfish,1
,soup,1
,swordfish,1
,blue fish pate,1
,pate,1
,fish soup,1
,traditionnal fish soup,1
cafe
,fish,73
,chips,38
,fish and chips,27
,sandwich,21
,fish sandwich,15
,fish sub,13
,salad,12
,tuna fish,11
,dinner,10
,fisherman's platter,7
,fish and chips dinner,6
,whitefish salad,6
,fish fillet,6
,cakes,4
,fish cakes,4
,tuna fish sub,4
,fish salad,4
,whitefish,3
,filet,3
,smoked whitefish salad,3
,fresh fish sub,3
,fish filet sandwich,2
,fried fish,2
,swordfish,2
,fish burger,2
deli
,fish,63
,chips,30
,fish and chips,21
,sandwich,19
,fish sandwich,14
,fish sub,13
,tuna fish,10
,dinner,10
,salad,7
,fish and chips dinner,6
,fisherman's platter,5
,whitefish salad,5
,tuna fish sub,4
,fresh fish sub,3
