american
,fries,598
,french fries,144
,home fries,55
,potato fries,54
,sweet potato fries,54
,cheese fries,33
,truffle fries,25
,homefries,17
,waffle fries,15
,hand cut fries,13
,fingers,11
,chili cheese fries,9
,cheese,9
,parmesan fries,9
,cajun fries,7
,spicy fries,7
,parmesan truffle fries,6
,polenta fries,6
,steak fries,6
,curly fries,6
,chicken fingers,6
,steak,5
,hot dog,5
,burger,5
,hand cut french fries,5
italian
,fries,206
,french fries,78
,potato fries,14
,sweet potato fries,13
,cheese fries,11
,curly fries,10
,home fries,10
,spicy fries,9
,truffle fries,8
,salad,5
,steak fries,5
,cheeseburger,4
,homefries,4
,fresh fruit,4
,fruit,4
,cheeseburger and fries,3
,cheese,3
,parmesan fries,3
,fries with cheese,2
,with cheese,2
,parmesan truffle fries,2
,side of french fries,2
,sauce,2
,bacon,2
,chicken fingers,2
mexican or latin
,fries,13
,french fries,5
,home-fries,1
,home fries,1
,sweet fries and,1
,burro home fries,1
,chili dusted french fries,1
,sweet potato fries,1
,potato fries,1
,chipotle fries,1
,"""our original"" sour cream-n-chive fries and",1
,fiery cajun fries and,1
,burrito and fries,1
,one taco with fries,1
,carne asada fries,1
,burrito,1
,yuca fries,1
,"""award winning"" curly-q-fries and",1
,west end fries,1
,cheesey fries and,1
cafe
,fries,337
,french fries,104
,home fries,49
,cheese fries,29
,sweet potato fries,24
,potato fries,24
,curly fries,17
,spicy fries,14
,toast,10
,homefries,8
,cajun fries,6
,2 eggsandcomma; home fries,6
,cheeseburger with fries,5
,seasoned fries,5
,cheese,5
,with cheese,4
,chili cheese fries,4
,waffle fries,4
,fries with cheese,4
,cheesy fries,4
,french fries with cheese,4
,meat,3
,special,3
,spicy curly fries,3
,burger,3
deli
,fries,276
,french fries,88
,home fries,28
,cheese fries,27
,potato fries,17
,sweet potato fries,17
,curly fries,15
,spicy fries,13
,toast,10
,cheeseburger with fries,5
,cheese,5
,homefries,5
,cajun fries,5
,seasoned fries,5
,waffle fries,4
,chili cheese fries,4
,french fries with cheese,4
,cheesy fries,4
,fries with cheese,4
,with cheese,4
,meat,3
,burger,3
,special,3
,gravy fries,2
,soda,2
ethnic
,fries,56
,french fries,23
,home fries,6
,greek fries,3
,hot dog with french fries,2
,hamburger with french fries,2
,potato fries,2
,sweet potato fries,2
,pork and fries,1
,falafel and fries,1
,chicken,1
,pork,1
,chicken and fries,1
,lamb,1
,shrimp and fries,1
,shrimp,1
,falafel,1
,lamb and fries,1
,parmesan fries,1
,chickpea fries with garlic mayo,1
,seasoned french fries,1
,35. french fries,1
,mayo,1
,64. french fries,1
,mistral fries,1
bar
,fries,71
,french fries,13
,potato fries,9
,sweet potato fries,9
,cheese fries,6
,house fries,4
,home fries,4
,sausages,3
,chicken fingers,3
,cocktail sausages and fries,3
,fingers,3
,curry cheese fries,3
,curry fries,2
,mini burgers,2
,chicken fingers and fries,2
,burgers,2
,sausage,2
,mini burgers and fries,2
,battered fries,2
,basket of fries,2
,pub fries,1
,side order of fries,1
,tuscan fries,1
,spicy fries,1
,steak fries,1
grill
,fries,82
,cheese fries,15
,french fries,11
,sweet potato fries,10
,potato fries,10
,chili cheese fries,5
,cajun fries,4
,large fries,2
,shoestring french fries,2
,sweet fries,2
,sweet potato french fries,2
,bacon cheese fries,2
,truffle fries,2
,shoestring fries,2
,home fries,2
,spicy fries,1
,texas fries,1
,fresh hand cut extra large fries,1
,garlicky parm fries,1
,fries large,1
,bacon cheesy fries,1
,gravy fries,1
,chili fries,1
,queso chili fries,1
,cheesy fries,1
asian
,fries,51
,french fries,35
,potato fries,4
,sweet potato fries,4
,homefries,3
,chicken wings,3
,wings,3
,home fries,3
,chicken fingers,2
,appetizer,2
,curry chicken with french fries,2
,teriyaki,2
,fingers,2
,spicy fries,2
,duck fat hand-cut fries,1
,hand-cut fries,1
,1. french fries,1
,coconut curry fries,1
,curry fries,1
,sansho fries,1
,house fries,1
,14. salt and pepper french fries,1
,salt,1
,km4. kid's cheese burger with french fries,1
,1. hamandcomma; sausageandcomma; eggandcomma; homefries,1
southern
,fries,8
,home fries,2
,french fries,2
,southwest home fries,1
,monterey jack cheese quesadilla french fries,1
,cheese fries,1
,cajun fries,1
,chile dusted fries,1
healthy
,fries,8
,french fries,4
,spicy fries,1
,additional fries,1
,home-cut fries,1
