american
,frites,98
,steak frites,57
,steak,8
,pommes frites,7
,moules frites,6
,hanger steak frites,4
,flank and frites,2
,salad,2
,steak and frites,2
,skirt steak frites,2
,chickpea frites,2
,brick chicken frites,1
,flash seared yellowfin tuna 'steak frites',1
,chickpea panisse frites,1
,brandt farm bavette steak frites,1
,truffle pommes frites,1
,steak frites salad,1
,truffled parmesan frites,1
,tavern steak frites,1
,grilled skirt steak,1
,skirt steak,1
,grass-fed flat-iron steak frites,1
,monk's frites,1
,moosabec moules frites,1
,grass-fed hanger steak frites,1
modern european
,frites,37
,steak frites,12
,pommes frites,8
,moules frites,4
,pomme frites,3
,classic steak frites,3
,stak frites,1
,boeuf medaillonsandcomma; frites,1
,steak au fromage with pomme frites,1
,brandt farm classic steak frites,1
,prime skirt steak frites,1
,steak tartareandcomma; frites,1
,steakandcomma; frites,1
,fish stick and frites,1
,skirt steak frites,1
,chicken fingers frites,1
,petit steak frites,1
,fish stick,1
,mussels,1
,grilled 10 oz. sirloin frites,1
,grilled hanger steak frites,1
,hanger steak frites,1
,hand cut pommes frites,1
,parmesan-truffle frites,1
,truffle pommes frites,1
italian
,frites,8
,steak frites,3
,truffle frites,2
,pasta beach frites,1
,pasta beach steak frites,1
,pommes frites,1
,steak,1
,steak and truffle frites,1
,flash seared yellowfin tuna 'steak frites',1
african
,spicy pommes frites,1
,pommes frites,1
,frites,1
bar
,steak frites,1
,frites,1
grill
,steak frites,1
,frites,1
asian
,frites,1
,steak,1
,empire steak and frites,1
cafe
,steak frites,1
,frites,1
deli
,steak frites,1
,frites,1
southern
,chile dusted frites with cotija cheese,1
,cheese,1
,southwestern steak frites,1
,steak frites,1
,frites,1
mediterranean
,frites,2
,steak frites,2
,hanger steak frites,1
,hangar steak frites,1
