american
,ham,151
,hamburger,64
,cheese,33
,ham and cheese,17
,sandwich,13
,grilled ham,12
,omelette,8
,eggs,8
,smoked ham,7
,ham and cheese sub,6
,cheese sub,6
,cheese omelette,6
,egg,6
,champagne cocktail,6
,steak,6
,ham steak,5
,grilled ham and cheese,5
,cheeseburger,5
,hamburger or cheeseburger,5
,champagne,5
,chamomile,5
,ham and cheese omelette,5
,country ham,5
,cheese sandwich,4
,melt,4
italian
,ham,133
,hamburger,42
,cheese,41
,ham and cheese,25
,wrap,13
,cheese sub,12
,egg,12
,sandwich,11
,ham and cheese sub,9
,champagne,8
,calzone,8
,ham and egg,7
,grilled ham,6
,club,6
,pizza,6
,salami,6
,turkey,6
,cheese sandwich,5
,cheese calzone,5
,baked ham,5
,hamburger sub,4
,ham and cheese calzone,4
,country ham,4
,chamomile,4
,hamburger club,4
modern european
,ham,12
,sandwich,2
,hamachi tartare,1
,yellowtail hamachi tartare,1
,tartare,1
,fermin iberian ham,1
,w.j. graham'sandcomma; 2007 vintage port,1
,12 chamisal vineyards,1
,champagne cocktail,1
,blood orange champagne cocktail,1
,ham and hceese parisian sandwichs,1
,w.j. graham's six grapes reserve,1
,grilled ham,1
,hamachi,1
,spanish ham and manchego sandwich,1
,crudo,1
,hamachi crudo,1
,serrano ham,1
,risotto aux champignons,1
,risotto au trois champignons,1
,cheese,1
,famouse ham and cheese parisian sandwich,1
,grilled ham and cheese,1
,"grilled ham,1
,croque monsieur,1
mexican or latin
,ham,4
,hamburger,3
,ham and cheese,2
,cheese,2
,papas,2
,cola champaign,1
,"ham and ""broken yolk""",1
,chamomile citrus,1
,"ham,1
,queso hamburguesa y papas,1
,chamorro,1
,ap07. chamorritos,1
,"egg and cheese sandwich with ham,1
,hamburguer,1
,"egg,1
,"omelet with ham,1
,ap06. chamorritos,1
,hamburguesa con papas,1
cafe
,ham,381
,cheese,106
,hamburger,73
,ham and cheese,59
,sandwich,53
,egg,36
,cheese sandwich,25
,club,23
,cheese sub,21
,ham and cheese sub,15
,swiss,15
,grilled ham,14
,ham and egg,14
,ham and cheese sandwich,13
,honey ham,13
,chamomile,11
,hamburger sub,10
,black forest ham,10
,baked ham,10
,ham and cheese club,9
,calzone,9
,egg sub,8
,ham and egg sub,8
,wrap,8
,bacon,8
deli
,ham,298
