american
,parmigiana,22
,chicken parmigiana,12
,eggplant parmigiana,4
,veal parmigiana,2
,chicken cutlet parmigiana,1
,met chicken parmigiana,1
,meatball parmigiana,1
,veal cutlet parmigiana,1
,7. chicken parmigiana,1
,eggplant parmigiana sub,1
,sandwich,1
,chicken parmigiana sandwich,1
mexican or latin
,chicken parmigiana,1
,parmigiana,1
cafe
,parmigiana,29
,chicken parmigiana,10
,eggplant parmigiana,9
,veal parmigiana,3
,marinara,2
,ziti,2
,panini,2
,chicken parmigiana sub,2
,chicken cutlet parmigiana,2
,pasta,2
,sandwich,2
,chicken cutlet parmigiana sandwich,1
,chicken parmigiana ( baked),1
,vegan,1
,eggplant parmigiana vegan,1
,eggplant parmigiana and ziti,1
,wrap,1
,chicken parmigiana wrap,1
,parmigiana plate,1
,chicken parmigiana sub sandwich,1
,chicken parmigiana and ziti,1
,melanzane parmigiana,1
,veal parmigiana with pasta and marinara,1
,pollo parmigiana,1
,chicken parmigiana with pasta,1
deli
,parmigiana,28
,eggplant parmigiana,9
,chicken parmigiana,9
,veal parmigiana,3
,pasta,2
,panini,2
,marinara,2
,ziti,2
,chicken cutlet parmigiana,2
,vegan,1
,veal parmigiana panini,1
,eggplant parmigiana vegan,1
,veal parmigiana with pasta and marinara,1
,pollo parmigiana,1
,chicken parmigiana sub,1
,eggplant parmigiana and ziti,1
,chicken parmigiana and ziti,1
,melanzane parmigiana,1
,parmigiana di melanzane,1
,sandwich,1
,chicken cutlet parmigiana sandwich,1
,chicken parmigiana ( baked),1
,chicken parmigiana with pasta and marinara,1
,pizza,1
,the parmigiana pizza,1
italian
,parmigiana,158
,eggplant parmigiana,41
,chicken parmigiana,32
,veal parmigiana,23
,pollo alla parmigiana,6
,pollo parmigiana,6
,melanzane,6
,parmigiana di melanzane,6
,sandwich,6
,veal cutlet parmigiana,5
,chicken cutlet parmigiana,4
,meatball parmigiana,4
,eggplant,4
,vitello alla parmigiana,4
,shrimp parmigiana,4
,melanzane parmigiana,4
,parmigiana di vitello,3
,di vitello,3
,vitello parmigiana,3
,with eggplant,3
,chicken parmigiana sandwich,3
,parmigiana with eggplant,3
,chicken,3
,chicken and eggplant parmigiana,3
,parmigiana di pollo,3
