american
,pie,163
,chicken pot pie,19
,boston cream pie,18
,key lime pie,17
,shepherd's pie,15
,apple pie,14
,hushpuppies,6
,mud pie,6
,pecan pie,5
,peanut butter pie,4
,whoopie pie,4
,cream,4
,ice cream,3
,pie of the day,3
,banana cream pie,3
,blueberry pie,3
,lobster pot pie,2
,shrimp cocktail,2
,pancakes,2
,ricotta pie,2
,"""shepherd's pie""",2
,mudslide pie,2
,chocolate,2
,peanut butter cup pie,2
,meaty pie,2
italian
,pie,40
,wings,12
,spinach pie,7
,fingers,6
,chicken wings,5
,jumbo chicken wings,5
,key lime pie,5
,pies,5
,boston cream pie,5
,apple pie,4
,chicken fingers,3
,ricotta pie,3
,buffalo fingers,3
,whoopie pies,3
,buffalo wings,3
,chicken,2
,jalapeno poppers,2
,mozzarella sticks,2
,boston creme pie,2
,sticks,2
,whole pies,2
,veal piemontese,2
,funghi ripieni,2
,piemonte,2
,pecan pie,2
cafe
,pie,107
,chicken,21
,spinach pie,15
,pies,13
,apple pie,9
,wings,8
,fried chicken,5
,key lime pie,5
,pumpkin pie,5
,dinner,4
,chicken pot pie,4
,ricotta pie,3
,pecan pie,3
,pie of the day,3
,reese's pieces,3
,boston cream pie,3
,rice krispie treats,3
,whoopie pies,3
,salad,3
,buffalo wings,3
,whoopie pie,3
,fingers,3
,cakes,3
,chicken fingers,3
,chicken wings (8 pieces),2
deli
,pie,47
,chicken,21
,spinach pie,14
,pies,6
,fried chicken,5
,dinner,4
,wings,4
,chicken pot pie,3
,salad,3
,chicken fingers,3
,fingers,3
,apple pie,3
,key lime pie,3
,cakes,2
,chicken fingers (10 pieces),2
,chicken wings (12 pieces),2
,shepherds pie,2
,popcorn chicken,2
,combo,2
,tilapia,2
,pizza,2
,chicken wings (8 pieces),2
,buffalo fingers (10 pieces),2
,rice,2
,buffalo wings (12 pieces),2
ethnic
,pie,34
,spinach pie,18
,meat pie,4
,cheese pie,2
,grape leaves,2
,sheperds pie en crut,1
,salade pierrot,1
,pierre sparrandcomma; cremant roseandcomma; nv,1
,gewurztraminerandcomma; pierre sparrandcomma; 2009,1
,"alsatian blendandcomma; pierre sparr ""one"" andcomma; 2009",1
,57. spinach pie,1
,one piece of grape leaves,1
,pies,1
,paupiette of dover sole and shrimp,1
,58. zaartar pie,1
,60. lamajeun pie,1
,shrimp,1
,feta cheese spinach pie,1
,individual piece of baklava,1
,42. meat pie,1
,44. spinach pie,1
,45. cheese pie,1
,baklava,1
,shepherd's pie,1
,one piece of falafel,1
grill
,pie,25
,pecan pie,4
,key lime pie,4
,apple pie,3
,pies,2
,chicken,2
,fried chicken,2
,sweet potato pie,2
,chocolate chess pie with pecans,2
,hush puppies,2
,pecans,2
,kentucky pie,1
,pumpkin pie,1
,banana split pie,1
,2-piece fried chicken,1
,classic cream pies,1
,4-piece fried chicken,1
,no sugar added pies,1
,strawberry pie,1
,platte county pie,1
,chicken pot pie,1
,classic key lime pie,1
,shepherd's pie,1
,beef,1
,shephard's pie,1
asian
,pie,27
,appetizer,7
,scallion pie,4
,dumplings,4
,shumai,2
,6 piece gyoza,2
,gyoza,2
,beef skewers,2
,pot stickers,2
,chicken dumplings,2
,pumpkin pie,2
,sushi,2
,scallions pie,2
,crab rangoon,2
,skewers,2
,pierogi dumplings,2
,choco pudding pie,2
,12 pieces,2
,pienapple power juice,1
,satay trio (6 pieces),1
,vegetarian roll (4 pieces),1
,power juice,1
,juice,1
,veggie or shrimp shumai (7 pieces),1
,crab wonton (8 pieces),1
southern
,apple pie,1
,zaks grandmas apple pie,1
,pie,1
,brown sugar pecan pie cheesecake,1
,hushpuppies,1
,cheesecake,1
,serrano and roasted corn hushpuppies,1
healthy
,pie,12
,cheese pie,3
,spinach pie,3
,chapati,2
,2 piece chapati,2
,poori,2
,samosa,2
,2 piece poori,2
,macaroni,2
,aloo tikki,2
,2 piece vegetable samosa,1
,2 piece aloo tikki,1
,chicken pakora,1
,vegetable samosa,1
,2 piece shrimp samosa,1
,5 piece vegetable pakora,1
,astoria spinach pie,1
,shrimp samosa,1
,5 piece chicken pakora,1
,paneer tikka,1
,2 piece ras malai,1
,gulab jamun,1
,2 piece gulab jamun,1
,ras malai,1
,2 piece mustard lamb,1
desserts
,pie,26
,pumpkin pie,3
,sorbet,2
,fig pie,2
,reese's pieces,2
,pecan pie,2
,kiwi pie,1
,fresh fig pie,1
,strawberry pie,1
,pear pie,1
,key lime pie,1
,custard pie,1
,coconut custard pie,1
,sweet taro pie,1
,nuts pie,1
,pistachio pie,1
,almond pie,1
,walnut pie,1
,belgian chocolate pie,1
,hazelnuts pie`,1
,american apple pie,1
,cashew pie,1
,blackberry pie,1
,belgian chocolate pecan pie,1
,pie a la mode,1
bar
,pie,41
,shepherd's pie,13
,shepherds pie,7
,chicken pot pie,4
,cottage pie,2
,martini,1
,vegetable pot pie,1
,vegetarian shepherds pie,1
,kelpie,1
,banana cream pie martini,1
,vegetarian cottage pie,1
,sheppard's pie,1
,traditional shepherd's pie,1
,lansdowne pie,1
,traditional shepherds pie,1
,mocha cream pie,1
,sheperd's pie,1
,"2010 beaujolaisandcomma; marcell lapierre ""raison gaulois"" andcomma; burgundy: gamay",1
,chocolate whoopie pies,1
,seafood pot pie,1
,highlander steak pie,1
,steak,1
,fisherman's pie,1
,welsh cottager's chicken pie,1
,steak and mushroom pie,1
mexican or latin
,brut sparklingandcomma; dom pierreandcomma; california,1
,california,1
,meltdown mudslide pie,1
,mudslide pie,1
,pie,1
