american
,salmon,333
,smoked salmon,48
,atlantic salmon,39
,grilled salmon,38
,seared salmon,21
,salad,21
,burger,20
,salmon burger,18
,faroe island salmon,15
,salmon salad,14
,sandwich,13
,roasted salmon,13
,salmon fillet,12
,pan seared salmon,10
,benedict,9
,filet,9
,salmon sandwich,9
,salmon filet,8
,crusted salmon,8
,salmon benedict,7
,bagel,7
,smoked salmon benedict,7
,bay of fundy salmon,6
,spicy salmon,6
,grilled atlantic salmon,6
modern european
,salmon,23
,smoked salmon,10
,benedict,3
,plancha,3
,salmon a la plancha,3
,salad,3
,salmon benedict,3
,atlantic salmon,2
,salmon salad,2
,house smoked salmon,2
,omelette,1
,salmon rillettes,1
,salmon fillet,1
,grilled salmon fillet,1
,smoked salmon croissant,1
,smoked salmon omelette,1
,salmon and leek,1
,croissant,1
,salmon ahumado casero y endibias,1
,kale salad and grilled salmon,1
,kale salad,1
,filet,1
,salmon filet,1
,grilled salmon filet,1
,english cucsandcomma; avocado and cured salmon salad,1
italian
,salmon,113
,smoked salmon,20
,atlantic salmon,12
,salmone,12
,grilled salmon,11
,salad,8
,faroe island salmon,7
,salmon salad,6
,salmon tartare,5
,tartare,5
,salmone alla griglia,5
,salmon burger,4
,salmone affumicato,4
,burger,4
,al forno,4
,salmone al forno,4
,salmon fillet,4
,al salmone,4
,scottish salmon,4
,salmon filet,3
,shrimp,3
,pan seared salmon,3
,seared salmon,3
,grilled faroe island salmon,3
,filet,3
cafe
,salmon,56
,smoked salmon,18
,salmon burger,8
,burger,8
,salad,6
,grilled salmon,6
,sandwich,5
,poached salmon,4
,bagel,4
,salmon salad,3
,wild salmon,3
,cheese,3
,smoked salmon sandwich,2
,omelet,2
,special,2
,salmon club,2
,club,2
,salmon fillet,2
,salmon sandwich,2
,cream cheese,2
,salmon plate,2
,smoked salmon plate,2
,salmon filet,1
,filet,1
,roasted corn,1
deli
,salmon,34
,smoked salmon,9
,salmon burger,5
,burger,5
,salad,5
,grilled salmon,4
,cheese,3
,sandwich,3
,poached salmon,3
,salmon plate,2
,smoked salmon plate,2
,bagel,2
,smoked salmon sandwich,2
,wild salmon,2
,salmon salad,2
,cream cheese,2
,salmon sandwich,2
,roasted corn,1
,filet,1
,corn,1
,salmon and roasted corn,1
,cakes,1
,eggs salmon,1
,arugula salad,1
,smoked salmon platter,1
asian
,salmon,249
,maki,95
,salmon roll,64
,salmon teriyaki,54
,teriyaki,54
,salmon maki,54
,smoked salmon,39
,salmon roe,31
,spicy salmon roll,25
,spicy salmon,22
,spicy salmon maki,21
,avocado roll,20
,salmon choo chee,18
,choo chee,18
,salad,18
,salmon skin roll,15
,salmon skin maki,15
,combo,14
,salmon skin,12
,salmon don,12
,teriyaki salmon,10
,salmon avocado roll,10
,salmon salad,10
,maki roll,9
,sauce,9
african
,17. salmon filet spicy,1
,spicy,1
middle eastern
,salmon,4
,wild salmon,2
,meal,1
,salmon filet meal,1
,salmon fillet,1
,grilled wild salmon,1
,grilled salmon,1
,fish tikka,1
,salmon fish tikka,1
bar
,salmon,18
,atlantic salmon,4
,seared salmon,3
,pan seared salmon,3
,grilled atlantic salmon,2
,burger,2
,smoked salmon omelette,2
,omelette,2
,salmon burger,2
,grilled salmon,2
,herb roasted salmon,1
,filet,1
,roasted salmon,1
,ora king salmon,1
,salmon roll,1
,salmon filet,1
,ora king salmon roll,1
,pan seared salmon filet,1
,salmon salad,1
,salad,1
,salmon toastie,1
,oak - smoked wild irish salmon,1
,caesar salad with shrimp or salmon,1
,mixed greens with shrimp or salmon,1
,baked atlantic salmon,1
grill
,salmon,4
,grilled salmon,1
,bourbon glazed salmon,1
,"pan seared ""atlantic salmon""",1
,"pan seared "" atlantic salmon""",1
,roasted salmon hash,1
,hash,1
,cajun salmon,1
,roasted salmon,1
,sandwich,1
,smoked salmon bagel,1
,salmon sandwich,1
,smoked salmon sandwich,1
,open smoked salmon sandwich,1
,bagel,1
mexican or latin
