american
,shrimp,316
,shrimp cocktail,76
,scampi,35
,shrimp scampi,34
,grilled shrimp,29
,salad,22
,jumbo shrimp cocktail,22
,fried shrimp,19
,popcorn shrimp,14
,jumbo shrimp,13
,shrimp salad,13
,buffalo shrimp,13
,with shrimp,12
,chicken,10
,grits,10
,coconut shrimp,10
,tempura,9
,shrimp tempura,8
,shrimp plate,8
,shrimp and grits,8
,lobster,7
,scallops,7
,stuffed shrimp,7
,shrimp skewer,7
,pasta,7
italian
,shrimp,195
,scampi,48
,shrimp scampi,47
,shrimp cocktail,35
,grilled shrimp,25
,broccoli,14
,jumbo shrimp cocktail,13
,scallops,12
,fried shrimp,11
,shrimp plate,9
,pizza,8
,jumbo shrimp,8
,with shrimp,7
,pasta,7
,linguine,6
,shrimp cacciatore,6
,chicken,6
,salad,6
,cacciatore,6
,shrimp pizza,5
,stuffed shrimp,5
,popcorn shrimp,5
,gulf shrimp,5
,alfredo,4
,ziti,4
ethnic
,shrimp,48
,curry,15
,shrimp curry,15
,shrimp biryani,14
,biryani,14
,shrimp masala,14
,shrimp vindaloo,13
,vindaloo,13
,shrimp saag,11
,tandoori shrimp,11
,saag,11
,shrimp korma,10
,korma,10
,vermicelli,6
,shrimp cocktail,5
,salad,5
,mushroom,4
,toast,4
,fried shrimp,4
,tandoori shrimp masala,4
,grilled shrimp,4
,shrimp mushroom,3
,lemongrass shrimp,3
,shrimp saagwala,3
,shrimp salad,3
mexican or latin
,shrimp,33
,burrito,6
,shrimp burrito,5
,quesadilla,5
,salad,5
,shrimp fajita,4
,fajita,4
,shrimp quesadilla,4
,ceviche,3
,shrimps,3
,shrimp ceviche,3
,tabasco shrimp,2
,fajitas,2
,nachos,2
,shrimp nachos,2
,shrimp salad,2
,taco,2
,extra shrimp,2
,shrimp fajitas,2
,shrimp al ajillo,2
,torta,1
,shrimp torta,1
,steak and shrimp burrito,1
,steak,1
,shrimp and scallops burrito,1
cafe
,shrimp,53
,salad,16
,shrimp scampi,14
,scampi,14
,shrimp salad,13
,dinner,9
,shrimp plate,8
,shrimp dinner,8
,fried shrimp,7
,chicken,6
,alfredo,5
,grilled shrimp salad,5
,jumbo shrimp,5
,grilled shrimp,4
,sauce,4
,shrimp alfredo,4
,shrimp cocktail,4
,pasta,3
,rice,3
,skewers,3
,buffalo shrimp,2
,shrimp caesar,2
,fried shrimp plate,2
,fried shrimp dinner,2
,broccoli,2
deli
,shrimp,42
,salad,15
,shrimp salad,13
,scampi,12
,shrimp scampi,12
,dinner,9
,shrimp plate,8
,shrimp dinner,8
,chicken,6
,jumbo shrimp,5
,alfredo,5
,grilled shrimp salad,5
,fried shrimp,4
,shrimp alfredo,4
,grilled shrimp,4
,shrimp cocktail,3
,pasta,3
,skewers,3
,sauce,3
,coconut shrimp,2
,buffalo shrimp,2
,fried shrimp dinner,2
,rice,2
,fried shrimp plate,2
,broccoli,2
bar
,shrimp,12
,shrimp cocktail,3
,salad,2
,salmon,2
,popcorn shrimp,2
,shrimp curry,2
,curry,2
,sweet and spicy shrimp,1
,shrimp and kale salad,1
,spicy shrimp,1
,kale salad,1
,shrimp summer salad,1
,shrimp carbonara,1
,chicken or shrimp carbonara,1
,spicy shrimp curry,1
,carbonara,1
,fried shrimp basket,1
,sausageandcomma; shrimp or chicken cacciatore,1
,jumbo shrimp cocktail,1
,chilled jumbo shrimp cocktail,1
,summer salad,1
,peel and eat shrimp,1
,fried oysterandcomma; shrimp and calamari plate,1
,calamari plate,1
,buffalo shrimp,1
asian
,shrimp,940
,sauce,136
,rice,126
,fried rice,97
,jumbo shrimp,87
,tempura,81
,vegetables,67
,shrimp fried rice,53
,shrimp tempura,50
,shrimps,49
,lobster sauce,47
,with shrimp,47
,kung pao shrimp,36
,broccoli,35
,salt,34
,shrimp with lobster sauce,34
,lo mein,32
,fried shrimp,32
,soup,31
,shrimp lo mein,30
,chicken,29
,garlic sauce,29
,teriyaki,27
,nuts,27
,baby shrimp,27
southern
,shrimp,3
,smoked tomato gazpacho (shrimp salsa),1
,coconut shrimp,1
,crispy coconut shrimp,1
,shrimp etouffee,1
,po boy shrimp,1
,grits,1
,shrimp po boy,1
,shrimp and grits,1
healthy
,shrimp,20
,curry,9
,biryani,8
,shrimp curry,8
,shrimp biryani,7
,vindaloo,6
,tandoori shrimp,6
,shrimp vindaloo,6
,shrimp korma,5
,korma,5
,shrimp masala,4
,shrimp do-piaza,3
,tandoori shrimp masala,3
,saag,3
,vermicelli,3
,shrimp saag,3
,salad,3
,garlic shrimp,2
,cake,2
,soup,2
,shrimp salad,2
,shrimp tikka masala,2
,tikka masala,2
,shrimp saagwala,2
,spicy shrimp salad,1
grill
,shrimp,8
,shrimp platter,2
,fried gulf shrimp,2
,fried gulf shrimp platter,2
,dinner,2
,bbq shrimp dinner,2
,shrimp dinner,2
,gulf shrimp,2
,new orleans bbq shrimp,2
,shrimp and orzo salad,1
,coconut crusted shrimp,1
,salad,1
,grilled shrimp,1
,buffalo shrimp,1
,fried buffalo shrimp,1
