american
,sorbet,39
,cream,12
,ice cream,12
,sorbets,10
,ice cream and sorbet,5
,ice cream or sorbet,4
,fruit sorbet,3
,assorted ice cream,2
,lemon sorbet,2
,seasonal sorbet,2
,housemade ice cream or sorbet,2
,ice creams,2
,raspberry sorbet,2
,sorbet of the day,2
,house-made sorbet,2
,chef's seasonal fruit sorbet,1
,assorted housemade ice creams or sorbets,1
,house made sorbet du jour 1 scoop,1
,sorbet of the week,1
,seasonal sorbet trio,1
,frozen sorbet or ice cream,1
,trio,1
,single scoop (ice cream or sorbet),1
,house made sorbet du jour 2 scoop,1
,sorbet du jour,1
ethnic
,sorbets,8
,sorbet,5
,ice cream,5
,cream,5
,ice creams,2
,sorbets maison,2
,sorbet du jour,2
,daily selection of sorbet,1
,variety of ice cream and sorbet,1
,chocolate sorbet,1
,homemade sorbet,1
,belgian chocolate sorbet,1
,tasting of sorbets,1
,coconut sorbet,1
,seasonal ice creams and sorbets,1
,selection of ice cream,1
,chef's selection of ice cream and sorbets,1
,ice cream and daily sorbets,1
,ice creams and sorbets,1
,artisanal sorbets and ice cream,1
,ice cream and sorbets,1
,trio of sorbets maison,1
italian
,sorbet,19
,sorbetto,6
,sorbetti,5
,sorbets,3
,fruit sorbet,3
,raspberry sorbet,2
,orange sorbet,2
,selections of sorbetto,2
,homemade sorbetto,2
,gelato,2
,ice cream,2
,cream,2
,house made seasonal fruit sorbet,1
,lemon sorbet,1
,pineapple sorbet,1
,housemade seasonal fruit sorbet,1
,ice cream or sorbet of the day,1
,raspberry sorbetini,1
,seasonal sorbet,1
,gelato... sorbetto...,1
,limone,1
,sorbetto trio,1
,gelato and sorbetto,1
,trio,1
,sorbetto di limone,1
cafe
,sorbet,10
,coconut sorbet,1
,mango sorbet,1
,cup of pineapple or raspberry sorbet,1
,strawberry sorbet,1
,sorbets (no dairy),1
,blackberry peach sorbet,1
,sugar plum sherry sorbet,1
,raspberry sorbet,1
,sorbet freeze,1
,sorbet of the day,1
,lemon sorbet,1
,wild blueberry sorbet,1
,orange sorbet,1
,freeze,1
,irish orange sorbet,1
,sorbets,1
deli
,sorbet,2
,lemon sorbet,1
,sorbets,1
asian
,sorbet,4
,ice cream,2
,cream,2
,sorbetto,1
,orange sorbet,1
,mandarin orange sorbet,1
,gourmet ice cream,1
,creme glacee et sorbet,1
,homemade gelatoandcomma; ice cream and sorbet,1
,bellini,1
,peach sorbet bellini,1
,gourmet ice cream and sorbet,1
mexican or latin
,helados,1
,helados and sorbetes,1
desserts
,sorbet,27
,sorbetto,2
,orange sorbet,2
,chocolate sorbet,2
,green apple sorbet,2
,strawberry lemonade sorbet,2
,kiwi strawberry sorbet,2
,strawberry sorbet,2
,berry medley sorbet,1
,sorbet dozen,1
,fresh coconut sorbet,1
,clockwork orange sorbet,1
,sweet grapefruit sorbet,1
,watermelon sorbet,1
,peach sangria sorbetto,1
,raspberry sorbet,1
,coconut sorbet,1
,so fresh mango sorbetto,1
,key lime sorbet,1
,pomegranate raspberry sorbet,1
,berrylicious sorbet,1
,orange julius sorbet,1
,ginger lemonade sorbet,1
,devil's chocolate sorbet,1
,watermelon splash sorbet,1
southern
,ice cream or sorbet,1
,sorbet,1
