american
,soup,251
,onion soup,44
,soup of the day,42
,french onion soup,29
,tomato soup,24
,soup du jour,24
,noodle soup,16
,salad,15
,cheese,10
,grilled cheese,9
,squash soup,9
,chicken noodle soup,8
,cups,8
,grilled cheese and tomato soup,7
,today's soup,6
,lentil soup,6
,chicken soup,6
,sandwich,6
,potato soup,6
,butternut squash soup,5
,onion soup gratinee,5
,soup and salad,5
,miso soup,5
,soups,5
,soup or salad,4
ethnic
,soup,107
,lentil soup,16
,chicken soup,12
,noodle soup,10
,soup of the day,9
,coconut soup,8
,mulligatawny soup,6
,soup du jour,5
,tomato soup,5
,onion soup,4
,vegetable soup,3
,french onion soup,3
,onion soupe gratinee,2
,croutons,2
,wonton soup,2
,soupe du jour,2
,red lentil soup,2
,chicken noodle soup,2
,white bean,2
,onion soup gratinee,2
,watercress soup,2
,daily soup,2
,soup hoanh thanh,1
,pho noodle soup,1
,soupe a loignon,1
italian
,soup,101
,soup of the day,21
,noodle soup,16
,salad,7
,tomato soup,6
,chicken noodle soup,6
,miso soup,5
,minestrone soup,4
,soups,4
,pumpkin soup,3
,roasted tomato soup,2
,panini,2
,tom yum noodle soup,2
,market soup,2
,potato soup,2
,avgolemono soup,2
,soup du jour,2
,chicken soup,2
,roast duck noodle soup,2
,duck noodle soup,2
,wonton soup,2
,beef noodle soup,2
,lentil soup,2
,cup of soup,2
,tomato basil soup,2
cafe
,soup,123
,soup of the day,36
,noodle soup,18
,soups,18
,sandwich,14
,chicken soup,9
,lentil soup,8
,rice soup,7
,french onion soup,6
,salad,6
,chicken rice soup,6
,onion soup,6
,wontons,6
,dumplings,6
,chicken noodle soup,6
,lemon chicken rice soup,5
,italian wedding soup,5
,vegetable soup,5
,tomato soup,4
,1/2 sandwich,4
,minestrone soup,4
,special,4
,soup du jour,4
,half sandwich,4
,frozen yogurt,3
deli
,soup,83
,soup of the day,20
,soups,12
,sandwich,12
,chicken soup,8
,lentil soup,7
,rice soup,6
,chicken rice soup,5
,lemon chicken rice soup,5
,italian wedding soup,5
,vegetable soup,4
,minestrone soup,4
,1/2 sandwich,4
,french onion soup,4
,special,4
,tomato soup,4
,onion soup,4
,cheese sandwich,3
,chicken noodle soup,3
,noodle soup,3
,salad,3
,vegetables soup,3
,half sandwich,3
,veggie soup,3
,chicken veggie soup,3
grill
,soup,14
,noodles,2
,with chicken,2
,salad,2
,bowl,2
,onion soup,2
,chicken,2
,salad with chicken,2
,soup of the day,2
,soup and salad,1
,soup and salad with chicken and noodles,1
,homemade cream of potato and bacon soup,1
,sancocho soup,1
,beef stew soup,1
,broccoli,1
,broccoli and cheese soup,1
,chicken tortilla soup,1
,potato,1
,tortilla soup,1
,soup and sandwich salad,1
,soup of the day bowl,1
,baked onion and ale soup,1
,guinness onion soup bowl,1
,guinness onion soup,1
,french onion soup,1
asian
,soup,1300
,noodle soup,349
,hot,109
,miso soup,108
,wonton soup,102
,egg drop soup,63
,hot and sour soup,50
,chicken noodle soup,47
,vegetable soup,45
,seafood soup,42
,tofu soup,34
,pork,31
,rice soup,30
,wonton noodle soup,30
,tom yum noodle soup,27
,beef noodle soup,27
,udon soup,24
,duck noodle soup,21
,dumpling soup,19
,pork noodle soup,17
,seafood noodle soup,17
,beef soup,16
,tom yum soup,16
,chicken,15
,noodles,15
mexican or latin
,soup,21
,tortilla soup,6
,bean soup,3
,soup of the day,2
,black bean soup,2
,chicken pozole soup,2
,tripe soup,2
,chicken tortilla soup,2
,chicken chorizo soup,1
,mexico city chicken pozole soup,1
,fresh vegetables,1
,olé tortilla soup,1
,chicken soup with fresh vegetables,1
,vegetables,1
,chicken soup,1
,cup of soup,1
,cup of soup and taco or cheese quesadilla,1
,sopa del dia - soup of the day,1
,quesadilla,1
,cheese quesadilla,1
,beef tripe soup,1
,shrimp soup,1
,seasonal soup,1
,seafood soup,1
healthy
,soup,67
,noodle soup,7
,lentil soup,6
,hot,6
,chicken soup,5
,tomato soup,5
,soup of the day,4
,mulligatawny soup,3
,yogurt,3
,coconut soup,3
,frozen yogurt,3
,chicken noodle soup,3
,watercress soup,2
,combo,2
,mushroom soup,2
,soups,2
,vegetable,2
,salad,2
,sandwich,2
,vegetable and tofu noodle soup,1
,hot and sour chicken soup,1
,shrimp soup,1
,hot and sour shrimp soup,1
,vegetable noodle soup (chicken base),1
,beef noodle soup (large bowl),1
bar
,soup,25
,onion soup,10
,soup of the day,9
,tomato soup,4
,guinness onion soup,3
,salad,2
,grilled cheese,2
,vegetable soup,2
,irish stout onion soup,2
,grilled cheese and tomato soup,2
,cheese,2
,french onion soup,2
,delicious soup of the day,1
,the soup,1
,guiness stout onion soup,1
,chicken,1
,hearty chicken and vegetable soup,1
,the other soup,1
,chef's soup of the day,1
,onion and ale soup,1
,firehouse chili soup,1
,soup de jour,1
,chili soup,1
,clam chowder soup,1
,onion,1
desserts
,soup,3
,cup soup,1
,pint soup,1
,quart soup,1
