american
,tacos,145
,fish tacos,57
,taco,40
,taco salad,13
,salad,13
,chicken tacos,10
,fish taco,6
,crispy fish tacos,5
,soft tacos,5
,tuna tacos,5
,fried fish tacos,5
,baja fish tacos,4
,shrimp tacos,4
,mahi tacos,3
,soft shell tacos,3
,steak taco,3
,tuna taco,3
,pork belly taco,3
,lobster tacos,3
,steak tacos,3
,spicy lobster tacos,2
,tacos (3),2
,baja tacos,2
,mahi mahi fish tacos,2
,street tacos,2
italian
,tacos,22
,fish tacos,11
,taco pizza,3
,pizza,3
,taco,2
,crispy fish tacos,2
,tuna tacos,2
,blackened tacos,1
,lobster tacos,1
,blackened fish tacos,1
,sizzling fish tacos,1
,spicy lobster tacos,1
,shack style fish tacos,1
,baja grilled swordfish tacos,1
,salad,1
,chicken,1
,beef or chicken,1
,taco salad with beef or chicken,1
,cajun blackened ahi tuna tacos,1
,ahi tuna tacos,1
,taco salad,1
,carnitas tacos,1
,skirt steak tacos,1
,fried tacos,1
,short rib tacos,1
cafe
,taco,7
,tacos,7
,taco salad,4
,salad,4
,pizza,3
,taco pizza,2
,chicken tacos,1
,ten tiny tacos,1
,jumbo taco with or without jalapeño,1
,grilled cajun chicken tacos,1
,steak taco,1
,taco roma pizza,1
,texas taco salad,1
,roma pizza,1
,fried fish taco,1
,fish taco,1
,jalapeño,1
,vitacoca,1
,chicken taco,1
,12. beef taco,1
,fish tacos,1
,mini tacos,1
,13. chicken taco,1
,tooty fruity phish tacos,1
,paco's fish tacos,1
deli
,tacos,7
,taco,7
,pizza,2
,salad,2
,taco salad,2
,chicken tacos,1
,ten tiny tacos,1
,grilled cajun chicken tacos,1
,fish taco,1
,taco roma pizza,1
,texas taco salad,1
,roma pizza,1
,fried fish taco,1
,jumbo taco with or without jalapeño,1
,steak taco,1
,beef soft tacos,1
,mini tacos,1
,paco's fish tacos,1
,fish tacos,1
,taco pizza,1
,12. beef taco,1
,chicken taco,1
,soft tacos,1
,tooty fruity phish tacos,1
,13. chicken taco,1
bar
,tacos,12
,fish tacos,3
,steak tacos,2
,ahi tacos,2
,chicken tacos,2
,blackened chicken tacos,1
,2 fish tacos,1
,salad,1
,lobster taco,1
,taco salad,1
,skirt steak tacos,1
,beef tacos,1
,long beach fish tacos,1
,surf and turf tacos,1
,taco,1
asian
,tacos,4
,fish tacos,2
,crispy fish tacos,1
,salsa,1
,fish tacos or kimchee sesame salsa,1
,crispy fish,1
,fish,1
,crispy fish and chips tacos,1
,jicama street tacos,1
,beer-battered fish tacos,1
,sashimi taco trio #,1
,sashimi taco trio,1
,taco,1
,baked salmon taco,1
,trio,1
,street tacos,1
mexican or latin
,taco,88
,tacos,48
,salad,14
,taco salad,14
,chicken taco,8
,fish tacos,7
,fish taco,6
,carnitas taco,5
,two tacos,4
,steak taco,4
,pollo,3
,breakfast tacos,3
,de pollo,3
,quesadilla,3
,al pastor taco,3
,chicken tacos,3
,pescado,2
,taco de pollo,2
,taco light,2
,cheese quesadilla,2
,beef,2
,beef tacos,2
,breakfast taco,2
,al pastor,2
,light,2
southern
,tacos,3
,baja fish tacos with pico de gallo,1
,breakfast tacos,1
,dark chocolate mousse tacos,1
,pico de gallo,1
,creamy scrambled eggs,1
,hickory smoked brisket tacos,1
,eggs,1
,scrambled eggs,1
,breakfast tacos or creamy scrambled eggs,1
ethnic
,tacos,4
,fish tacos,1
,fish taco,1
,lobster tacos,1
,soft indian kulcha tacos,1
,taco,1
desserts
,peanut butter choco taco,1
,taco,1
grill
,tacos,4
,taco,2
,salad,2
,taco salad,2
,fish tacos,1
,carne al carbon tacos,1
,sampler,1
,taco sampler,1
,beef or chicken taco,1
,chicken taco,1
,super taco,1
,sriracha pork tacos,1
,taco platter,1
,tacos a la carte,1
,4 taco special,1
,special,1
,taco skins,1
,a la carte,1
healthy
,appetizer,2
,entree,2
,homemade vegetarian tacos - entree,1
,homemade vegetarian tacos - appetizer,1
,homemade tacos - entree,1
,homemade tacos - appetizer,1
