american
,steak,404
,tea,164
,steak tips,106
,eggs,71
,frites,65
,steak frites,57
,salad,56
,iced tea,52
,cheese,36
,sandwich,36
,steak and eggs,35
,teas,32
,mussels,31
,sirloin steak,27
,steak and cheese,25
,steak sandwich,22
,tartare,22
,steak tartare,21
,steamed mussels,20
,steak salad,19
,bomb,18
,hanger steak,16
,skirt steak,16
,steak bomb,16
,wrap,15
modern european
,steak,16
,frites,15
,steak frites,12
,tartare,4
,tea,4
,steak tartare,4
,eggs,3
,steak and eggs,3
,classic steak frites,3
,steak tips,2
,hanger steak,2
,salad,2
,rib-eye steak,2
,alcachofas salteadas,2
,skirt steak,2
,vegetables,1
,california,1
,08 benjamin du château bertinerie,1
,raymond estateandcomma; merlotandcomma; california,1
,benjamin du château bertinerieandcomma; côtes de bordeaux blaye,1
,09 château des roches,1
,steamed vegetables,1
,gateau de lentilles,1
,steak au fromage with pomme frites,1
,pomme frites,1
italian
,steak,256
,tea,87
,cheese,44
,steak tips,36
,wrap,34
,steak and cheese,26
,iced tea,25
,bomb,22
,steak bomb,21
,sandwich,20
,sirloin steak,18
,salad,17
,grilled steak,15
,egg,15
,pizza,14
,mussels,14
,dinner,13
,cheese steak,13
,lobster,11
,steak sub,11
,calzone,11
,steamers,10
,steak tip sub,10
,steamed mussels,10
,shrimp,10
mexican or latin
,steak,40
,tea,14
,burrito,11
,fajita,7
,quesadilla,6
,taco,6
,steak fajita,5
,grilled steak,5
,iced tea,5
,steak taco,4
,salad,4
,steak plate,4
,skirt steak,4
,steak burrito,4
,steak quesadilla,4
,steak ranchero,3
,ranchero,3
,steak tips,3
,sirloin steak,3
,nachos,3
,peppers,2
,grilled marinated steak,2
,chicken,2
,natural skirt steak,2
,onions,2
cafe
,tea,399
,steak,325
,iced tea,98
,cheese,57
,green tea,47
,steak and cheese,46
,salad,40
,dinner,40
,steak tips,39
,milk tea,37
,bomb,35
,wrap,35
,steak bomb,33
,latte,30
,cheese sub,29
,tea latte,29
,sandwich,27
,black tea,24
,hot tea,22
,steak and cheese sub,21
,steak tip salad,20
,teas,20
,pizza,19
,calzone,19
,steak tips dinner,18
deli
,steak,288
,tea,169
,iced tea,54
,cheese,52
,steak and cheese,41
,dinner,36
,salad,36
,steak tips,35
,bomb,32
,steak bomb,31
,wrap,31
,cheese sub,29
,steak and cheese sub,21
,sandwich,20
,steak tip salad,19
,calzone,19
,pizza,18
,steak tip,18
,steak tips dinner,17
,egg,17
,green tea,16
,steak tip dinner,14
,onion,14
,mushroom,13
,steak sub,13
asian
,tea,476
,green tea,127
,steak,109
,rice,99
,milk tea,84
,iced tea,73
,vegetables,52
,sauce,41
,pepper steak,38
,thai iced tea,37
,black tea,35
,steamed rice,28
,chicken,23
,white rice,22
,brown rice,22
,steamed white rice,21
,hot tea,20
,mixed vegetables,19
,noodles,19
,vegetable,18
,steamed brown rice,18
,tofu,17
,broccoli,17
,shrimp,17
,fish,16
african
,gateau genoise,1
,green mint tea with roasted nutsandcomma; sweetened,1
middle eastern
,tea,15
,iced tea,5
,steak,3
,coffee,1
,brewed coffee,1
,fresh brewed coffee and tea,1
,house tea,1
,lipton iced tea,1
,fresh brewed coffee,1
,steak (12oz.),1
,herbal tea,1
,8. hot tea,1
,moroccan mint tea,1
,honest tea,1
,hot tea,1
,2. moti's homemade iced tea,1
,turkish coffeeandcomma; herbal tea,1
,homemade iced tea,1
,egyptian tea,1
,appetizer teaser,1
,homemade regular or flavored iced tea,1
,steak tips plate,1
,flavored iced tea,1
,coffee or tea,1
,berry iced tea,1
mediterranean
,tea,12
,steak,3
,frites,2
,salad,2
,cheese,2
,steak and cheese,2
,steak frites,2
,steak tips,2
,iced tea,2
,steak gozi flat bread sandwich,1
,steak mezze rice plate,1
,sandwich,1
,burger,1
,steak salad,1
,steak burger,1
,yellow fin tuna steak burger,1
,hanger steak frites,1
,peach tea,1
,sweet leaf unsweetened tea,1
,unsweetened tea,1
,steak kebab salad,1
,kebab,1
,steak kebab,1
,sweet leaf sweet tea,1
,sweet tea,1
bar
,steak,34
,steak tips,24
,tea,13
,salad,10
,cheese,7
,eggs,6
,steak and eggs,6
,mussels,5
,steak and cheese,5
,steamed mussels,5
,iced tea,5
,sandwich,5
,marinated steak tips,4
