american
,toast,269
,french toast,161
,brioche french toast,17
,stuffed french toast,14
,bagel,10
,avocado toast,9
,toasted bagel,8
,cheese,8
,challah french toast,8
,cinnamon french toast,7
,english muffin,6
,muffin,6
,sticks,5
,wheat toast,5
,french toast sticks,5
,butter,4
,texas toast,4
,crunchy french toast,4
,cream cheese,4
,eggs,4
,almonds,3
,toasted almond,3
,almond,3
,with butter,3
,avocado,3
modern european
,toast,24
,french toast,14
,brioche french toast,3
,almonds,2
,chocolate french toast,2
,shrimp toast,1
,toasted almonds,1
,roasted eel salad andcomma; red wine brined cranberries and toasted almonds,1
,toasted coconut soufflé,1
,cranberries,1
,shrimp and avocado toast,1
,sandwich,1
,cheese sandwich,1
,toasted cheese sandwich,1
,chicken liver toast,1
,avocado toast,1
,toasted white gazpacho,1
,shrimp,1
,crispy shrimp toast,1
,toasted coconut layer cake,1
,seven grain toast,1
,omelette with toast,1
,yogurt,1
,toasted granola,1
,toasted granola and icelandic yogurt,1
italian
,toast,48
,french toast,26
,ravioli,4
,brioche french toast,4
,tortilla,3
,bread,2
,toasted ravioli,2
,garlic,2
,english muffin,2
,cake,2
,coffee,2
,brioche toast,2
,toasted garlic,2
,muffin,2
,salad,2
,cherry tomatoandcomma; toasted almonds and goat cheese,1
,toasted semolina cake,1
,goat cheese salad,1
,almonds,1
,toasted almonds,1
,shrimp toast on pugliese bread,1
,goat cheese,1
,cheese,1
,french toast and coffee,1
,toasted goat cheese salad,1
cafe
,toast,178
,french toast,91
,bagel,10
,toasted bagel,8
,home fries,7
,cheese,7
,english muffin,7
,challah french toast,7
,fries,7
,eggs,7
,muffin,7
,raisin toast,6
,egg,6
,2 eggs,5
,texas french toast,5
,meat,5
,cream cheese,4
,banana french toast,4
,special,4
,ravioli,4
,stuffed french toast,4
,toasted ravioli,4
,butter brick toast,4
,sandwich,3
,french toast special,3
deli
,toast,95
,french toast,48
,eggs,7
,fries,7
,home fries,7
,challah french toast,7
,bagel,6
,muffin,6
,cheese,6
,toasted bagel,6
,english muffin,6
,meat,5
,2 eggs,5
,toasted ravioli,4
,stuffed french toast,4
,ravioli,4
,egg,4
