american
,wings,249
,chicken wings,94
,buffalo wings,40
,bbq wings,9
,boneless buffalo wings,8
,crispy chicken wings,5
,boneless wings,5
,honey bbq wings,4
,sticky wings,4
,teriyaki wings,4
,jumbo wings,4
,fries,4
,grilled wings,3
,hot wings,3
,bbq chicken wings,3
,duck wings,3
,grilled chicken wings,3
,tenders,3
,buffalo chicken wings,2
,wings or tenders,2
,salt,2
,smoked wings,2
,sweet and spicy chicken wings,2
,french fries,2
,thai wings,2
ethnic
,wings,12
,chicken wings,6
,tandoori wings,1
,lemongrass wings,1
,roasted wings,1
,kids chicken wings,1
,chicken wingsandcomma; lebanese style,1
,style,1
,80. chicken wings,1
,buffalo wings,1
,spicy chicken wings,1
,sauteed skate wings,1
,1. spicy chicken wings,1
,meal,1
,jerked wings meal,1
,wings meal,1
,buffalo tenders or wings,1
italian
,wings,106
,chicken wings,43
,buffalo wings,29
,jumbo chicken wings,7
,buffalo chicken wings,5
,boneless buffalo wings,4
,wings dinner,4
,dinner,4
,pizza,3
,oven roasted wings,3
,roasted wings,3
,special,3
,bbq wings,3
,desire,2
,wings of desire,2
,stuffed wings,2
,soda,2
,fingers,2
,chicken wings plate,2
,chicken fingers,2
,buffalo wings dinner,2
,jumbo buffalo wings,2
,chicken wings or chicken fingers,1
,spicy wings,1
,sweet and spicy wings,1
mexican or latin
,wings,14
,chicken wings,4
,no nukes wings,1
,atomic wings,1
,honey-stung wings,1
,back yard bbq wings,1
,boneless buffalo wings on a stick,1
,subatomic wings,1
,bbq wings,1
,chipotle wings,1
,tequila wings,1
,marinated chicken wings,1
,la hacienda wings,1
,buffalo wings,1
,chicken wings (10),1
,smoked wings,1
,"""world renowned"" buffalo wings",1
cafe
,wings,149
,chicken wings,61
,buffalo wings,38
,dinner,22
,wings dinner,21
,bbq wings,12
,chicken wings dinner,11
,buffalo wings dinner,8
,regular wings,7
,boneless buffalo wings,5
,bbq chicken wings,4
,buffalo chicken wings,4
,honey bbq wings,4
,fingers,4
,soda,3
,special,3
,hot wings,3
,boneless wings,3
,buffalo wings (12 pieces),2
,appetizer,2
,chicken wings plate,2
,buffalo wings (8 pieces),2
,chicken wings (12 pieces),2
,chicken wings (8 pieces),2
,teriyaki wings,2
deli
,wings,129
,chicken wings,55
,buffalo wings,32
,dinner,22
,wings dinner,21
,bbq wings,11
,chicken wings dinner,11
,buffalo wings dinner,8
,regular wings,7
,buffalo chicken wings,4
,bbq chicken wings,4
,boneless buffalo wings,4
,special,3
,honey bbq wings,3
,hot wings,2
,appetizer,2
,teriyaki wings,2
,buffalo wings (8 pieces),2
,fingers,2
,chicken wings (8 pieces),2
,bbq wings dinner,2
,fresh chicken wings,2
,chicken wings (12 pieces),2
,jumbo wings,2
,tenders,2
grill
,wings,32
,buffalo wings,7
,chicken wings,6
,bbq wings,5
,teriyaki wings,3
,honey bbq wings,3
,voodoo chicken wings,2
,mitch's sands; chicken wings,1
,whiskey's buffalo wings,1
,smoked bbq wings,1
,hawg wings (3),1
,t's wings,1
,southern fried wings,1
,mitch's s and s chicken wings,1
,bbq party wings,1
,smoked and fried wings (10),1
,atomic wings,1
,honey buffalo wings,1
,sweet chili wings,1
,golden bbq wings,1
,spicy pterodactly wings,1
,spicy honey bbq wings,1
,chicken wings or tenders,1
,wings or tenders,1
,garlic parm wings,1
asian
,wings,227
,chicken wings,177
,fried chicken wings,26
,rice,25
,fried rice,24
,pork fried rice,20
,spicy chicken wings,12
,spicy wings,11
,ribs,10
,salt,10
,chicken wings (2),8
,combo,7
,boneless ribs,7
,teriyaki,6
,chicken wings (6),6
,thai wings,5
,boneless spareribs,5
,spareribs,5
,buffalo wings,5
,hot,4
,garlic chicken wings,4
,special combo,4
,fingers,4
,5. chicken wings,4
,chicken teriyaki,3
southern
,wings,2
,chicken wings,2
,honey habanero spiced chicken wings,1
bar
,wings,40
,buffalo wings,12
,chicken wings,12
,boneless buffalo wings,4
,buffalo chicken wings,3
,boneless wings,2
,patriot maple glazed wings,1
,buffalo style chicken wings,1
,chicken tenders or wings,1
,1 lb homemade boneless wings,1
,american wings,1
,2 lbs homemade boneless wings,1
,wingsandcomma; wings and more wings,1
,baked wings,1
,crispy chicken wings or tenders,1
,guinness bbq wings,1
,bbq wings,1
,12 pieces wings,1
,teriyaki wings,1
,tenders,1
,hog wings,1
,chicken wings or tenders,1
,wings or tenders,1
,chicken fingers or wings,1
healthy
,wings,4
,gangnam-style wings,1
,chicken wings,1
,grilled saffron wings,1
,buffalo wings,1
