american
,wrap,233
,chicken wrap,38
,caesar wrap,22
,wraps,22
,buffalo chicken wrap,16
,chicken caesar wrap,16
,lettuce wraps,15
,veggie wrap,9
,bacon,9
,turkey wrap,8
,steak wrap,7
,chicken salad wrap,6
,scallops wrapped in bacon,6
,tuna wrap,5
,lettuce wrap,5
,hummus wrap,5
,bbq chicken wrap,5
,kabob wrap,4
,falafel wrap,4
,fajita wrap,4
,lunch,4
,turkey club wrap,4
,thai lettuce wraps,4
,scallops,4
,greek wrap,4
italian
,wrap,341
,chicken wrap,25
,caesar wrap,19
,chicken caesar wrap,14
,turkey wrap,12
,steak,11
,chicken,10
,cheese wrap,9
,buffalo chicken wrap,9
,tuna wrap,8
,greek wrap,7
,chicken salad wrap,7
,vegetarian wrap,6
,ham,6
,blt wrap,6
,roast beef wrap,6
,beef wrap,6
,bacon,6
,ranch wrap,5
,turkey,5
,kabob wrap,5
,veggie wrap,5
,steak and cheese wrap,5
,greek salad wrap,5
,tuna salad wrap,4
cafe
,wrap,555
,chicken wrap,61
,caesar wrap,59
,chicken caesar wrap,49
,cheese wrap,26
,buffalo chicken wrap,23
,turkey wrap,21
,veggie wrap,20
,greek wrap,16
,chicken salad wrap,12
,grilled chicken caesar wrap,11
,hummus wrap,11
,vegetable wrap,11
,kabob wrap,9
,falafel wrap,9
,egg,8
,turkey club wrap,8
,grilled chicken wrap,8
,tuna wrap,8
,grilled veggie wrap,7
,chicken kabob wrap,7
,steak tip wrap,6
,italian wrap,6
,chicken ranch wrap,5
,ham,5
deli
,wrap,455
,chicken wrap,52
,caesar wrap,51
,chicken caesar wrap,41
,cheese wrap,24
,buffalo chicken wrap,21
,turkey wrap,20
,veggie wrap,16
,greek wrap,14
,vegetable wrap,10
,hummus wrap,9
,chicken salad wrap,8
,grilled chicken caesar wrap,8
,egg,8
,kabob wrap,8
,grilled chicken wrap,8
,tuna wrap,7
,turkey club wrap,7
,grilled veggie wrap,6
,italian wrap,6
,chicken kabob wrap,6
,falafel wrap,6
,steak tip wrap,5
,beef wrap,5
,blt wrap,5
ethnic
,wrap,53
,kabob wrap,7
,chicken wrap,4
,chicken caesar wrap,3
,falafel wrap,3
,wraps,3
,caesar wrap,3
,eggplant wrap,2
,kafta kabob wrap,2
,greek salad wrap,2
,salad,2
,shish kabob wrap,2
,lettuce wraps,1
,lobster lettuce wraps,1
,tuna pita wrap,1
,buffalo chicken wrap,1
,caesar salad wrap,1
,veggie lover wrap,1
,vegetarian pita wrap,1
,texas buffalo chicken wrap,1
,cobb club wrap,1
,yellow fin tuna wrap,1
,shawarma wrap,1
,greek chicken wrap,1
,chicken mozzarella wrap,1
grill
,wrap,4
,caesar wrap,2
,chicken caesar wrap,1
,chicken wrap,1
,buffalo chicken wrap,1
,wrap or panini special of the day,1
,chicken caesar wrap grill,1
,grilled chicken lettuce wrap,1
,bacon wrapped meatloaf,1
,lettuce wrap,1
,chicken lettuce wrap,1
,meatloaf,1
,special of the day,1
asian
,wraps,21
,wrap,20
,lettuce wraps,15
,lettuce wrap,7
,chicken lettuce wraps,6
,chicken wrap,3
,chicken lettuce wrap,3
,spicy tuna salad in cucumber wrap,2
,spicy sake salad in cucumber wrap,2
,salmon wraps,2
,vegetarian lettuce wraps,2
,chang's chicken lettuce wraps,2
,duck wraps,1
,roti breakfast wrap with shiitake,1
,chocolate wrap,1
,12. chicken lettuce wrap,1
,thai pork lettuce wraps,1
,roti breakfast wrap with bacon,1
,bacon,1
,krapao beef with lettuce wrap,1
,veggie lettuce wraps,1
,grilled pork bulgogi wraps,1
,3. salmon wraps,1
,krapao chicken with lettuce wrap,1
,bean curd wrapper,1
mexican or latin
,wrap,7
,wraps,4
,eggs,2
,eggs and bacon wrap,1
,sausage wrap,1
,kids wraps,1
,tacos,1
,lettuce wrap ahi tuna tacos,1
,ahi tuna tacos,1
,tuna tacos,1
,eggs and chicekn sausage wrap,1
,huevos rancheros wrap,1
,super fajita wraps,1
,medium fajita wraps,1
,nutella snack wrap,1
,chicken wrap,1
,caesar chicken wrap,1
,lettuce wrap-n-roll platter,1
,garden wrap with chicken or	steak,1
,garden wrap,1
,huevos rusticos wrap,1
healthy
,wrap,31
,chicken wrap,4
,turkey,3
,chicken,3
,roasted chicken,2
,turkey and cheddar wrap box,1
,roasted chicken and goat cheese wrap box,1
,pesto chicken wrap box,1
,bbq chicken wrap box,1
,meatball parmesan hot wrap,1
,tofu wrap box,1
,blackened chicken wrap box,1
,create your own wrap scramble,1
,turkey blt wrap box,1
,buffalo chicken hot wrap,1
,tuna salad wrap box,1
,roasted chicken portobello wrap box,1
,falafel and red peppers hot wrap,1
,bacon,1
,bang bang chicken wrap,1
,mustard chicken and swiss wrap,1
,southwestern breakfast hot wrap with bacon,1
,southwestern egg white breakfast hot wrap,1
,grilled shrimp wrapped in vine leaves,1
,southwestern breakfast hot wrap,1
bar
,wrap,31
,chicken wrap,13
,buffalo chicken wrap,9
,caesar wrap,6
,chicken caesar wrap,3
,sandwich,2
,turkey club wrap,2
,grilled buffalo chicken wrap,1
,steak wrap,1
,grilled veggie wrap,1
,scallops wrapped in bacon,1
,haddock wrap,1
,veggie wrap,1
,blt wrap,1
,honey bbq chicken wrap,1
,steak tip caesar wrap,1
,crispy chicken wrap,1
,bbq chicken wrap,1
,turkey blt wrap,1
,california club wrap,1
,bacon,1
,teriyaki steak wrap,1
,tuna wrap,1
,bacon wrapped meatloaf,1
,cajun caesar wrap,1
