american
,shrimp ,316
,shrimp and grits,8
,scallops ,7
,salmon ,6
,broccoli ,4
,shrimp and garlic,3
,caesar ,2
,salt and pepper shrimp,2
,shrimp and scallop,2
,shrimp and calamari dinner,1
,ribs and shrimp,1
,chicken and shrimp,1
,sizzling chicken and shrimp,1
,cajun shrimp and chicken pasta,1
,10-oz. sirloin and grilled shrimp scampi,1
,grilled shrimp scampi and salmon,1
,black angus rib-eye and grilled shrimp scampi,1
,salmon and grilled shrimp scampi,1
,sirloin and shrimp,1
,buffalo shrimp and any bbq,1
,shrimp and chimchurri,1
,shrimp and avocado quesadilla,1
,tangy swordfish and shrimp,1
,tabasco shrimp and avocado,1
,shrimp and linguini fra diavolo,1
italian
,shrimp ,195
,broccoli ,14
,scallops ,12
,shrimp and scallops,4
,shrimp and garlic,3
,caesar ,3
,shrimp and broccoli,2
,shrimp and polenta,2
,shrimp and scallop and linguine,1
,shrimp and linguine,1
,calamari scampi and shrimp scampi,1
,steak tips ,1
,shrimp and scallop,1
,pan seared shrimp and scallops,1
,shrimp scampi and broccoli,1
,shrimp and calamari,1
,shrimpandcomma; scallops and calamari,1
,grilled gulf shrimp and sirloin steak tips,1
,chickpea and shrimp fritters,1
,shrimp maccheroni and broccoli,1
,shrimp asparagus and rigatoni,1
,shrimp and calamari saute,1
,shrimp and asparagus,1
,shrimp and ravioli,1
,shrimpandcomma; scallopandcomma; and broccoli,1
mexican or latin
,shrimp ,33
,shrimp and avocado quesadilla,1
,tangy swordfish and shrimp,1
,swordfish ,1
,cholula shrimp and grilled corn,1
,shrimp and avocado salad,1
,tabasco shrimp and avocado,1
,steak and shrimp burrito,1
,crab meat and shrimp enchilada,1
,shrimp and avocado cocktail,1
,shrimp and scallops,1
,scallops ,1
,chicken and shrimp burrito,1
,shrimp and scallops burrito,1
ethnic
,shrimp ,48
,shrimp vindaloo ,13
,broccoli ,2
,yellow tomato and shrimp risotto,1
,poached shrimp and arugula salad,1
,seared shrimp and scallops,1
,scallops ,1
,shrimp and fries,1
,shrimp and avocado toast,1
,grilled beef and sugar cane shrimp,1
,34. grilled shrimpandcomma; pork and crispy spring rolls vermicelli,1
,33. grilled shrimp and pork vermicelli,1
,seafood and shrimp salad,1
,paupiette of dover sole and shrimp,1
,beef ,1
,l6. grilled pork and shrimp bun,1
cafe
,shrimp ,53
,caesar ,2
,broccoli ,2
,pasta with sautéed shrimp and broccoli,1
,shrimp and lobster sauce,1
,shrimp and tofu,1
,chicken and shrimp in scampi sauce,1
,shrimp and asparagus,1
,shrimp scampi and pasta,1
,chicken and shrimp ziti broccoli alfredo,1
,shrimp and pork shanghai noodles,1
,shrimp and chicken,1
,shrimp and calamari risotto,1
,portabella mushroom and shrimp ravioli,1
,chicken and shrimp salad,1
,cajun chicken and shrimp pasta,1
,shrimp and broccoli alfredo sauce,1
,shrimp and broccoli,1
,cajun chicken and shrimp with fresh pasta,1
deli
,shrimp ,42
,broccoli ,2
,pasta with sautéed shrimp and broccoli,1
,shrimp and chicken,1
,caesar ,1
,chicken and shrimp ziti broccoli alfredo,1
,shrimp scampi and pasta,1
,shrimp and asparagus,1
,cajun chicken and shrimp pasta,1
,cajun chicken and shrimp with fresh pasta,1
,chicken and shrimp in scampi sauce,1
,portabella mushroom and shrimp ravioli,1
,shrimp and calamari risotto,1
,shrimp and broccoli alfredo sauce,1
,chicken and shrimp salad,1
,shrimp and broccoli,1
bar
,shrimp ,12
,salmon ,2
,shrimp and kale salad,1
,sweet and spicy shrimp,1
,peel and eat shrimp,1
,shrimp and black pepper fettuccini,1
,fried oysterandcomma; shrimp and calamari plate,1
,shrimp and grits,1
asian
,shrimp ,940
,kung pao shrimp ,36
,broccoli ,35
,scallops ,16
,beef ,16
,shrimp and vegetable tempura,15
,sweet and sour shrimp,12
,yu hsiang shrimp ,12
,szechuan shrimp ,7
,salt and pepper shrimp,7
,szechuan spicy shrimp ,7
,curry shrimp ,6
,shrimp basil fried rice ,5
,basil ,5
,shrimp and broccoli,4
,crispy aromatic shrimp ,4
,szechuan spiced shrimp ,4
,tom yum shrimp ,3
,beef and shrimp teriyaki,3
,salt and pepper jumbo shrimp,3
,shrimp and vegetable,3
,chicken and shrimp,3
,ginger and scallion shrimp,3
,chicken and shrimp teriyaki,3
,c15. shrimp ,2
southern
,shrimp ,3
,shrimp and grits,1
healthy
,shrimp ,20
,shrimp vindaloo ,6
,eggplant ,1
,hot and sour shrimp soup,1
,spicy shrimp and cilantro wrap,1
,shrimp and sausage gumbo,1
,shrimp cake and pork vermicelli,1
grill
,shrimp ,8
,shrimp and orzo salad,1
